N	2gram	Propp_Russ_1	VrazhdaK
1	в году	2	18
2	не только	22	9
3	в этом	12	8
4	и что	4	8
5	и в	36	8
6	года в	2	7
7	но и	16	7
8	что в	19	7
9	то что	6	7
10	в нем	2	6
11	все же	5	6
12	как и	10	6
13	но в	2	6
14	и с	2	6
15	то же	3	5
16	не было	2	5
17	и не	6	5
18	у него	2	5
19	об этом	9	5
20	между тем	7	5
21	в россии	4	5
22	для нас	6	4
23	как бы	5	4
24	все это	6	4
25	это не	10	4
26	так же	3	4
27	с ним	2	4
28	в своих	2	4
29	может быть	8	4
30	при этом	6	4
31	несмотря на	3	4
32	о том	8	4
33	в ней	2	4
34	в этот	10	3
35	связи с	4	3
36	в своем	3	3
37	что у	2	3
38	считал что	2	3
39	в связи	4	3
40	т е	17	3
41	к этому	4	3
42	и у	5	3
43	он был	2	3
44	в том	17	3
45	том что	19	3
46	и как	2	3
47	тем что	4	3
48	в его	2	3
49	далеко не	3	3
50	в эти	4	2
51	его с	4	2
52	а с	4	2
53	в честь	3	2
54	и а	4	2
55	после этого	4	2
56	из них	8	2
57	не менее	3	2
58	вместе с	10	2
59	отнюдь не	2	2
60	его и	2	2
61	в них	6	2
62	так в	4	2
63	не может	4	2
64	а в	9	2
65	тогда как	2	2
66	таким образом	6	2
67	начиная с	3	2
68	п в	13	2
69	но это	4	2
70	там же	5	2
71	в в	2	2
72	уже не	6	2
73	же не	2	2
74	с точки	3	2
75	их в	3	2
76	а н	18	2
77	точки зрения	3	2
78	в свою	3	2
79	еще не	4	2
80	во время	14	2
81	довольно много	2	2
82	в это	3	2
83	о чем	3	2
84	одна из	4	2
85	к ним	3	2
86	том же	2	2
87	а также	3	2
