N	2gram	Vygotskiy__6	UchenyiS
1	и в	28	14
2	а не	3	10
3	не только	16	10
4	и не	11	8
5	прежде всего	2	8
6	то что	28	7
7	в этом	27	7
8	вот почему	2	7
9	не может	19	7
10	может быть	13	6
11	все это	2	5
12	и только	3	5
13	то же	7	5
14	но и	10	4
15	в этой	5	4
16	в их	3	4
17	с другой	2	4
18	что такое	3	4
19	только к	3	3
20	но в	5	3
21	как и	6	3
22	и то	4	3
23	все же	2	3
24	в своей	2	3
25	в частности	4	3
26	очевидно что	3	3
27	для этого	2	3
28	другой стороны	2	3
29	для него	6	3
30	это не	5	3
31	в то	6	3
32	было бы	9	3
33	и т.д	3	3
34	этой области	2	3
35	в области	6	3
36	у нас	2	3
37	том что	19	2
38	но не	10	2
39	в том	28	2
40	по существу	2	2
41	мы не	6	2
42	с его	3	2
43	думается что	5	2
44	не в	4	2
45	но это	2	2
46	мы и	4	2
47	этом смысле	2	2
48	если бы	7	2
49	нас в	2	2
50	только в	18	2
51	тем что	8	2
52	сих пор	3	2
53	могут быть	5	2
54	что он	18	2
55	в себе	4	2
56	в системе	3	2
57	как раз	6	2
58	до сих	3	2
59	что мы	11	2
60	же самое	6	2
61	в конце	2	2
62	могли бы	9	2
63	что все	5	2
64	этом отношении	3	2
65	в самом	8	2
66	не могут	5	2
67	по себе	3	2
68	одним из	2	2
69	самом деле	2	2
70	для всех	2	2
71	и является	2	2
72	что и	4	2
73	в его	3	2
74	таким образом	18	2
