N	2gram	Voloshinov_1	Poddanst
1	не только	7	17
2	и в	16	14
3	и не	4	12
4	в области	3	11
5	в этом	9	10
6	то же	2	9
7	в том	3	9
8	но в	4	9
9	хотя бы	4	8
10	в пределах	2	8
11	только в	4	7
12	быть может	2	6
13	но и	4	6
14	было бы	2	6
15	и пр	12	5
16	и о	2	5
17	может быть	17	5
18	то что	3	4
19	что в	3	4
20	не может	8	4
21	и к	6	4
22	а в	3	4
23	том что	3	4
24	как бы	5	4
25	и потому	3	4
26	в нем	4	3
27	прежде всего	9	3
28	с точки	6	3
29	сводится к	2	3
30	мы не	2	3
31	и как	3	3
32	с ними	4	3
33	могут быть	3	3
34	точки зрения	8	3
35	что мы	2	3
36	я и	6	3
37	не менее	2	2
38	и есть	3	2
39	во всех	3	2
40	в частности	2	2
41	отнюдь не	4	2
42	в них	2	2
43	все это	4	2
44	во всей	2	2
45	отношения к	3	2
46	с этим	2	2
47	в жизни	2	2
48	и других	2	2
49	и вот	3	2
50	на этих	2	2
51	для нас	2	2
52	говорить о	2	2
53	есть в	2	2
54	по сравнению	3	2
55	в начале	2	2
56	в общем	3	2
57	и мы	2	2
58	и это	6	2
59	в его	4	2
60	и с	8	2
