N	2gram	Bakhtin_fo_2	Marksizm
1	может быть	7	28
2	и пр	2	25
3	и в	46	19
4	как бы	10	19
5	и не	9	19
6	не может	2	18
7	точки зрения	10	17
8	то же	8	16
9	и его	12	16
10	как мы	6	15
11	в этом	22	15
12	таким образом	3	14
13	лишь в	2	14
14	в сущности	2	14
15	так сказать	7	14
16	не только	11	13
17	с точки	8	13
18	связи с	8	13
19	в нем	5	11
20	вовсе не	13	11
21	не в	9	10
22	в пределах	5	10
23	но и	9	10
24	том что	4	10
25	так и	7	10
26	и т.п	2	10
27	для него	3	9
28	при этом	6	9
29	в основе	6	9
30	как и	8	9
31	а не	4	9
32	отнюдь не	4	8
33	же время	4	8
34	не является	3	8
35	в то	5	8
36	только в	11	8
37	никогда не	6	7
38	в связи	8	7
39	в том	10	7
40	его в	6	7
41	но в	10	7
42	и более	2	7
43	прежде всего	14	7
44	и для	9	7
45	в смысле	5	6
46	к тому	3	6
47	и как	3	6
48	того чтобы	8	6
49	с помощью	3	6
50	же самое	3	6
51	и все	6	6
52	мы уже	9	6
53	во всех	11	6
54	слова и	3	6
55	быть и	2	6
56	для того	8	6
57	в большинстве	3	5
58	или иной	2	5
59	смысле слова	2	5
60	в форме	3	5
61	в их	3	5
62	так же	2	5
63	и на	7	5
64	большинстве случаев	3	5
65	к этому	3	5
66	того же	3	5
67	в его	8	5
68	все же	6	5
69	значения в	2	5
70	в той	2	5
71	в данном	2	5
72	тем более	3	5
73	в отношении	2	4
74	это не	2	4
75	то что	7	4
76	мы видели	2	4
77	и их	4	4
78	влияние на	2	4
79	того что	3	4
80	что он	3	4
81	было бы	2	4
82	конечно не	4	4
83	в основном	8	4
84	тем же	2	4
85	в себе	4	4
86	громадное значение	5	3
87	в этих	3	3
88	характерно что	2	3
89	с другой	2	3
90	и от	2	3
91	в двух	2	3
92	здесь мы	3	3
93	в этой	2	3
94	в котором	4	3
95	а в	3	3
96	с этим	5	3
97	с одной	2	3
98	все эти	5	3
99	в другом	3	3
100	должно быть	5	3
101	для других	3	3
102	не было	3	3
103	в истории	4	3
104	о том	4	3
105	так как	6	3
106	по себе	2	3
107	у нас	2	3
108	в качестве	3	3
109	до сих	2	3
110	еще не	6	3
111	в корне	2	3
112	он не	5	3
113	и до	2	3
114	что и	3	3
115	на основе	3	3
116	во всяком	2	3
117	могут быть	2	3
118	и это	2	3
119	сих пор	2	3
120	место в	4	2
121	уже в	4	2
122	все основные	2	2
123	что в	5	2
124	в одной	2	2
125	не знает	2	2
126	он был	2	2
127	следовательно и	3	2
128	что они	4	2
129	до конца	2	2
130	о чем	3	2
131	и у	5	2
132	жизни и	8	2
133	в своем	5	2
134	в особенности	6	2
135	отношения к	4	2
136	именно в	2	2
137	и даже	3	2
138	как на	2	2
139	рядом с	2	2
140	опирается на	2	2
141	и с	6	2
142	то есть	10	2
143	от этого	2	2
144	у него	9	2
145	лежит в	2	2
146	этих форм	5	2
147	и почти	2	2
148	значение и	4	2
149	но не	5	2
150	на границе	3	2
151	здесь в	6	2
152	и о	2	2
153	и потому	2	2
154	и прежде	3	2
155	не на	3	2
156	еще более	4	2
157	и он	4	2
158	между ними	2	2
159	тем что	3	2
160	на протяжении	3	2
161	все его	4	2
162	далеко не	2	2
163	там где	2	2
164	вместе с	9	2
