N	2gram	Tiupa_Hudo_1	VelikijI
1	и не	2	20
2	и в	14	16
3	то что	8	9
4	еще не	7	8
5	и потому	2	7
6	а не	12	7
7	в мире	3	5
8	хотя и	2	5
9	как бы	7	5
10	но и	5	5
11	все это	2	5
12	того что	4	5
13	что он	9	4
14	в нем	3	4
15	как и	9	4
16	так и	13	4
17	что не	2	4
18	потому что	5	4
19	в этом	11	4
20	в ней	4	4
21	говорить о	3	4
22	и все	4	4
23	в его	8	4
24	с его	5	3
25	что в	6	3
26	в этих	5	3
27	превращается в	3	3
28	они в	2	3
29	в конце	4	3
30	ни в	5	3
31	в том	12	3
32	не в	7	3
33	за ним	2	3
34	что я	2	3
35	к тому	7	3
36	никогда не	6	3
37	жизни и	5	3
38	в своей	10	3
39	тому что	4	3
40	не было	4	3
41	лишь в	3	3
42	и что	2	3
43	не имеет	2	3
44	и для	3	3
45	должно быть	2	3
46	личности и	2	3
47	в первый	2	3
48	все эти	3	3
49	нет ничего	2	3
50	но в	5	3
51	это не	7	2
52	в духе	4	2
53	прежде всего	11	2
54	да и	2	2
55	том что	16	2
56	одна из	2	2
57	от него	3	2
58	но не	3	2
59	для него	10	2
60	того чтобы	3	2
61	вместо того	2	2
62	не только	12	2
63	один из	4	2
64	и т	11	2
65	на том	2	2
66	в форме	2	2
67	т д	3	2
68	а с	2	2
69	все равно	2	2
70	тем что	3	2
71	в себя	2	2
72	мы не	2	2
73	уже не	7	2
74	а в	7	2
75	с ним	4	2
76	можно было	5	2
77	между тем	8	2
78	только в	5	2
79	и это	4	2
