N	3gram	Vinokur_Ku_1	VLabPisa
1	и т д	14	15
2	в этом отношении	5	13
3	и т п	18	9
4	с другой стороны	6	8
5	не может быть	3	8
6	по отношению к	8	7
7	более или менее	3	6
8	хотя бы и	2	5
9	в зависимости от	5	5
10	то же время	2	5
11	в то же	2	5
12	в связи с	3	4
13	в том что	15	4
14	к тому что	2	3
15	о том как	3	3
16	о том что	5	3
17	хотя бы в	4	3
18	вместе с тем	3	3
19	чуть ли не	2	2
20	по крайней мере	5	2
21	до сих пор	4	2
22	во всяком случае	5	2
23	этой точки зрения	2	2
24	в том чтобы	8	2
25	можно было бы	3	2
26	для того чтобы	15	2
