N	2gram	Nazirov_Tv_1	Formalny
1	и в	21	38
2	в этом	6	27
3	может быть	5	23
4	и его	6	21
5	таким образом	5	20
6	и не	7	20
7	в самом	3	16
8	прежде всего	4	15
9	не в	2	15
10	и т	3	14
11	не может	4	14
12	в нем	3	13
13	но и	3	13
14	с его	11	11
15	в том	7	11
16	вовсе не	5	11
17	в его	13	10
18	и с	3	9
19	как и	12	9
20	при этом	7	9
21	не только	7	9
22	т п	2	9
23	отнюдь не	5	8
24	что и	2	8
25	все же	5	8
26	так и	2	8
27	самом деле	2	8
28	что в	12	7
29	для него	6	7
30	в своей	4	7
31	уже не	3	7
32	в первом	2	7
33	то что	8	6
34	в ней	2	6
35	в этой	5	6
36	вместе с	2	6
37	в их	3	6
38	то же	13	6
39	а не	5	6
40	могут быть	2	6
41	он не	8	6
42	только в	5	6
43	а в	6	6
44	хотя бы	5	6
45	что он	6	5
46	именно в	2	5
47	это и	3	5
48	же время	12	5
49	по преимуществу	2	5
50	еще более	2	5
51	в основе	2	5
52	в то	15	5
53	не столько	2	4
54	к этому	2	4
55	к тому	2	4
56	в дальнейшем	3	4
57	как бы	17	4
58	из них	2	4
59	как в	8	4
60	что не	2	4
61	и наконец	2	4
62	и даже	3	4
63	так как	3	4
64	но в	7	4
65	одного из	2	3
66	если в	2	3
67	место в	3	3
68	с другой	3	3
69	а как	2	3
70	и как	4	3
71	в целом	4	3
72	жизни и	3	3
73	только на	2	3
74	все это	10	3
75	на самом	3	3
76	такой же	2	3
77	того что	3	3
78	или в	2	3
79	и на	7	3
80	хотя и	3	3
81	как к	2	3
82	и все	6	3
83	так сказать	2	3
84	не то	2	3
85	времени и	4	2
86	уже в	3	2
87	самого начала	3	2
88	и другие	3	2
89	все более	2	2
90	никогда не	3	2
91	в этих	2	2
92	в качестве	2	2
93	перед нами	2	2
94	это не	4	2
95	в одной	2	2
96	представление о	3	2
97	ее и	2	2
98	это время	2	2
99	его как	2	2
100	до конца	2	2
101	с самого	3	2
102	том что	11	2
103	но это	5	2
104	то в	2	2
105	но не	3	2
106	ни на	3	2
107	было в	2	2
108	же и	2	2
109	в котором	6	2
110	даже в	3	2
111	не так	3	2
112	один из	4	2
113	и тем	2	2
114	не будет	2	2
115	во второй	2	2
116	не по	3	2
117	ее в	3	2
118	приводит к	2	2
119	во всей	2	2
120	и других	3	2
121	в в	2	2
122	тем самым	7	2
123	и по	3	2
124	что для	2	2
125	отличие от	2	2
126	вряд ли	2	2
127	сказать что	2	2
128	и от	4	2
129	в отличие	2	2
130	при помощи	2	2
131	подхода к	3	2
132	в чем	2	2
133	потому что	5	2
134	в которой	3	2
135	с ним	3	2
136	та же	4	2
137	в виду	2	2
