N	2gram	Trubetskoy_1	FransuaR
1	и в	14	29
2	таким образом	11	20
3	и не	19	16
4	в этой	4	13
5	как и	4	12
6	но в	2	12
7	и на	5	11
8	в этом	17	11
9	то же	11	10
10	во время	2	10
11	мы уже	2	10
12	в то	10	10
13	не только	9	10
14	в конце	3	9
15	но и	10	9
16	все эти	2	9
17	и с	7	9
18	его в	4	9
19	же время	10	8
20	прежде всего	8	8
21	в его	4	8
22	как бы	4	8
23	так же	2	7
24	в том	17	7
25	так как	4	7
26	из них	3	6
27	в большинстве	3	6
28	что это	3	5
29	у него	2	5
30	все они	3	5
31	и о	2	5
32	в нем	5	5
33	в своей	5	5
34	большинстве случаев	2	5
35	и по	3	5
36	только для	2	4
37	что он	6	4
38	но это	2	4
39	есть и	2	4
40	еще не	3	4
41	и есть	2	4
42	конце концов	3	4
43	то что	13	4
44	жизни и	4	4
45	конечно не	5	4
46	все это	6	4
47	на самом	6	4
48	в результате	2	4
49	тем что	3	4
50	точки зрения	11	4
51	всех этих	3	3
52	в частности	2	3
53	в качестве	3	3
54	в своем	6	3
55	отметить что	2	3
56	все же	4	3
57	том что	9	3
58	и как	3	3
59	то в	3	3
60	более или	4	3
61	церкви и	9	3
62	мы можем	2	3
63	того что	3	3
64	он не	5	3
65	к нему	2	3
66	или менее	4	3
67	при этом	5	3
68	и вот	2	3
69	того чтобы	8	3
70	для того	6	3
71	и даже	2	3
72	в ней	2	3
73	в себе	9	3
74	на эту	2	3
75	место в	2	2
76	связи с	3	2
77	в этих	2	2
78	жизни в	5	2
79	это в	2	2
80	но мы	3	2
81	к тому	7	2
82	и к	6	2
83	одной из	3	2
84	ни в	2	2
85	да и	3	2
86	одному из	2	2
87	из этого	3	2
88	и тот	2	2
89	что они	3	2
90	именно в	3	2
91	чудесным образом	4	2
92	но не	4	2
93	не может	22	2
94	может быть	9	2
95	том же	2	2
96	никогда не	5	2
97	уже не	2	2
98	в котором	2	2
99	если в	6	2
100	со стороны	4	2
101	и для	6	2
102	на этой	2	2
103	себя в	4	2
104	но она	2	2
105	его и	2	2
106	в их	4	2
107	в других	2	2
108	и наконец	2	2
109	с точки	9	2
110	друг друга	3	2
111	как на	8	2
112	или в	3	2
113	принадлежат к	2	2
114	в своих	6	2
115	и то	4	2
116	их в	2	2
117	и при	6	2
118	даже и	2	2
119	как будто	2	2
120	только в	5	2
121	о том	7	2
122	если же	2	2
123	с ним	2	2
