N	2gram	Propp_Isto_2	Myshleni
1	и в	15	25
2	в том	6	23
3	том что	7	20
4	что в	12	17
5	так же	13	17
6	таким образом	7	17
7	ребенка и	2	17
8	с тем	9	16
9	как и	2	15
10	то что	12	15
11	в его	6	15
12	в этом	11	14
13	вместе с	7	14
14	может быть	17	13
15	ребенка в	3	12
16	так как	14	12
17	в качестве	3	12
18	перед нами	2	10
19	что они	10	10
20	как бы	6	10
21	и не	11	10
22	и что	6	10
23	того что	3	10
24	было бы	5	10
25	что и	6	10
26	только в	6	10
27	мы могли	2	9
28	связи с	8	9
29	как в	5	9
30	мы не	3	9
31	ни в	2	9
32	показывает что	4	8
33	того чтобы	2	8
34	тем что	4	8
35	уже в	2	7
36	все эти	4	7
37	что мы	3	7
38	как это	3	7
39	мы можем	8	7
40	самого начала	2	6
41	с другой	2	6
42	с самого	2	6
43	не в	7	6
44	же как	5	6
45	один из	8	6
46	мы видели	2	6
47	не может	5	6
48	в связи	5	6
49	и на	4	6
50	потому что	9	6
51	в основном	2	6
52	мы должны	4	6
53	что он	24	6
54	в силу	2	6
55	представляет собой	5	6
56	но не	2	6
57	не только	18	6
58	все же	9	6
59	все это	3	6
60	можно было	5	6
61	так и	5	5
62	именно в	2	5
63	что это	6	5
64	но это	4	5
65	одной стороны	3	5
66	при этом	4	5
67	что она	5	5
68	на этой	2	5
69	показывают что	2	5
70	с одной	4	5
71	и по	2	5
72	с ее	2	5
73	мы уже	6	5
74	о том	3	5
75	могут быть	2	5
76	этой стадии	2	5
77	в этой	4	5
78	никогда не	15	4
79	из этих	3	4
80	прежде всего	5	4
81	на то	3	4
82	к тому	5	4
83	мы знаем	11	4
84	мог бы	3	4
85	не мог	3	4
86	смысле этого	2	4
87	из них	2	4
88	но и	14	4
89	не столько	2	4
90	а в	12	4
91	сказать что	2	4
92	мы имеем	15	4
93	с этим	5	4
94	встречается в	3	4
95	еще не	9	4
96	мы увидим	8	4
97	он не	8	4
98	приводит к	2	4
99	той же	2	4
100	и это	3	4
101	ни один	2	4
102	что эти	4	3
103	в себя	3	3
104	в него	2	3
105	в котором	5	3
106	и их	2	3
107	другой стороны	2	3
108	по отношению	3	3
109	с ними	2	3
110	в которых	2	3
111	их в	2	3
112	его в	10	3
113	как он	3	3
114	к которому	5	3
115	как она	4	3
116	видели что	3	3
117	в жизни	2	3
118	состоит в	2	3
119	мы видим	8	3
120	наряду с	6	3
121	связь с	4	3
122	а с	2	3
123	когда он	3	3
124	того как	4	3
125	слова в	2	2
126	то же	10	2
127	в этих	11	2
128	раньше чем	3	2
129	следовательно не	2	2
130	и вместе	2	2
131	в тех	2	2
132	для нас	4	2
133	так что	6	2
134	но все	5	2
135	является не	2	2
136	в нашей	2	2
137	некоторое время	2	2
138	в нем	7	2
139	очень рано	2	2
140	в свете	2	2
141	и только	2	2
142	он имеет	2	2
143	только после	4	2
144	здесь мы	3	2
145	совершенно ясно	2	2
146	на его	2	2
147	и здесь	9	2
148	но они	4	2
149	всех этих	3	2
150	главным образом	2	2
151	но по	3	2
152	на котором	2	2
153	представления о	5	2
154	в одном	5	2
155	все еще	2	2
156	об этом	11	2
157	и эти	2	2
158	одна из	2	2
159	очень часто	4	2
160	есть и	2	2
161	и может	2	2
162	мы в	2	2
163	это так	2	2
164	не происходит	3	2
165	а также	2	2
166	отношению к	3	2
167	находится в	2	2
168	тем самым	2	2
169	и для	2	2
170	и его	3	2
171	или в	2	2
172	с другими	2	2
173	тому как	3	2
174	и то	2	2
175	связан с	5	2
176	говорили что	2	2
177	часто в	2	2
178	в себе	4	2
179	в эту	2	2
