N	2gram	Losev_Dial_3	StatiiOP
1	и в	24	25
2	в этом	8	24
3	в том	5	20
4	что в	7	19
5	что он	13	19
6	может быть	13	19
7	тем что	3	19
8	что это	12	16
9	том что	8	15
10	и пр	6	13
11	в его	2	12
12	то что	14	12
13	не только	23	12
14	так что	8	11
15	прежде всего	8	10
16	таким образом	13	10
17	и не	27	10
18	у него	2	9
19	но и	9	9
20	и т	24	8
21	все это	6	8
22	как например	2	8
23	т е	48	8
24	в своих	2	8
25	о том	6	8
26	это было	3	8
27	это не	4	7
28	было бы	5	7
29	с этим	3	7
30	не может	19	7
31	что такое	21	7
32	точки зрения	25	7
33	в то	5	7
34	из этих	2	6
35	не в	3	6
36	только в	5	6
37	как бы	3	6
38	как на	5	6
39	а в	2	6
40	и на	3	6
41	то же	6	5
42	в них	5	5
43	потому что	7	5
44	с другой	4	5
45	на то	3	5
46	ни в	9	5
47	об этом	6	5
48	и это	4	5
49	а не	26	5
50	того что	12	5
51	другой стороны	2	5
52	говорил что	2	5
53	он не	5	5
54	так и	5	5
55	но в	2	5
56	всяком случае	2	4
57	точка зрения	5	4
58	по крайней	5	4
59	была бы	3	4
60	в смысле	2	4
61	крайней мере	5	4
62	у нас	4	4
63	как и	7	4
64	это есть	8	4
65	но это	5	4
66	то в	2	4
67	если бы	6	4
68	например в	2	4
69	и к	5	4
70	в ней	2	4
71	и тем	2	4
72	из этого	2	4
73	отличается от	8	4
74	в особенности	7	4
75	не было	3	4
76	из которых	3	4
77	с точки	14	4
78	в чем	4	4
79	к нему	3	4
80	и для	2	4
81	и с	6	4
82	время как	4	4
83	сказать что	4	4
84	во всяком	2	4
85	в каком	3	4
86	все же	3	4
87	то время	4	4
88	ничего не	17	4
89	что все	14	3
90	с его	2	3
91	тому что	4	3
92	же время	3	3
93	показывает что	2	3
94	и здесь	2	3
95	его как	3	3
96	с этой	5	3
97	для него	4	3
98	тем более	3	3
99	и что	15	3
100	на этом	2	3
101	кроме того	6	3
102	одной стороны	3	3
103	и если	2	3
104	несмотря на	2	3
105	все эти	3	3
106	нет никакого	7	3
107	со стороны	2	3
108	в их	2	3
109	как раз	7	3
110	что этот	2	3
111	уже не	5	3
112	что мы	8	3
113	и его	5	3
114	что для	5	3
115	в виде	8	3
116	говорить о	4	3
117	так как	6	3
118	я и	2	3
119	все время	3	2
120	при помощи	3	2
121	нет вообще	2	2
122	не менее	11	2
123	никогда не	7	2
124	себя и	2	2
125	для этого	2	2
126	и у	2	2
127	что у	2	2
128	как о	4	2
129	но они	2	2
130	и во	2	2
131	в одной	3	2
132	исторического процесса	2	2
133	тогда когда	5	2
134	вовсе не	13	2
135	не буду	5	2
136	и ее	3	2
137	утверждать что	6	2
138	что именно	3	2
139	или иной	4	2
140	к тому	4	2
141	как мы	2	2
142	на котором	2	2
143	что его	5	2
144	так чтобы	2	2
145	есть в	3	2
146	что если	2	2
147	каком смысле	3	2
148	но не	2	2
149	только тогда	3	2
150	еще не	2	2
151	в самом	7	2
152	в сущности	10	2
153	одна из	3	2
154	нас к	2	2
155	на что	2	2
156	в виду	7	2
157	нет и	4	2
158	тем не	10	2
159	я думаю	2	2
160	ее в	2	2
161	история в	2	2
162	и тогда	5	2
163	только что	4	2
164	социальные отношения	2	2
165	не на	6	2
166	и только	6	2
167	быть не	2	2
168	т д	23	2
169	как я	2	2
170	с одной	3	2
171	не просто	18	2
172	от того	4	2
173	самом деле	6	2
174	для того	3	2
175	что не	5	2
176	и по	2	2
177	его не	2	2
178	той же	3	2
179	что нужно	2	2
180	мы не	5	2
181	или в	2	2
182	слово в	2	2
183	то и	3	2
184	ни на	3	2
185	одно из	5	2
186	могут быть	2	2
187	он и	3	2
188	но как	2	2
189	на другое	3	2
190	и ни	3	2
191	не имеет	11	2
192	если я	2	2
193	к этой	2	2
194	в чисто	2	2
