N	2gram	Nazirov_Tr_1	FransuaR
1	и в	18	40
2	то есть	3	18
3	и его	6	17
4	прежде всего	4	16
5	в романе	10	15
6	в этом	9	15
7	не только	8	13
8	и не	7	13
9	в его	3	13
10	что в	4	12
11	как и	5	11
12	но и	4	11
13	и все	4	9
14	может быть	7	9
15	он не	2	9
16	отношение к	2	8
17	в том	2	8
18	и до	2	8
19	у него	6	8
20	все эти	3	8
21	и с	7	8
22	и на	7	8
23	но в	6	8
24	в своем	3	7
25	в одном	2	7
26	этот образ	4	7
27	то же	5	7
28	он и	2	7
29	же время	6	6
30	в самом	2	6
31	в то	5	6
32	до конца	2	6
33	в году	9	5
34	в нем	4	5
35	то что	4	5
36	для него	3	5
37	том что	4	4
38	в основном	3	4
39	ни в	2	4
40	один из	3	4
41	в мире	3	4
42	все это	4	4
43	жизнью и	2	4
44	о том	2	4
45	в данном	2	4
46	и даже	4	4
47	и здесь	2	4
48	с его	2	3
49	в частности	2	3
50	об этом	4	3
51	он был	2	3
52	в ее	2	3
53	но это	4	3
54	в этой	4	3
55	одна из	2	3
56	еще не	4	3
57	как бы	7	3
58	еще в	2	3
59	что и	2	3
60	так и	5	3
61	как в	3	3
62	не может	5	3
63	и как	3	3
64	не так	2	3
65	но все	2	3
66	тем что	2	3
67	при этом	3	3
68	в отличие	2	3
69	в себе	4	3
70	в конце	3	3
71	отличие от	2	3
72	из самых	2	2
73	уже в	3	2
74	не был	2	2
75	о чем	3	2
76	чем он	2	2
77	это не	5	2
78	что он	6	2
79	все же	5	2
80	в дальнейшем	5	2
81	и сам	3	2
82	тут же	2	2
83	к нему	3	2
84	к жизни	5	2
85	в целом	4	2
86	своего рода	3	2
87	данном случае	2	2
88	который в	2	2
89	эпизод с	3	2
90	потому что	2	2
91	и ее	2	2
92	и это	2	2
93	одном из	2	2
94	имеет в	2	2
