N	3gram	Tiupa_Anal_2	DiskursI
1	в том что	6	13
2	с одной стороны	4	9
3	по отношению к	4	9
4	тогда как в	2	5
5	по природе своей	2	5
6	о том что	6	5
7	в отличие от	2	4
8	то же время	2	4
9	к тому же	4	4
10	с другой стороны	2	3
11	той или иной	3	3
12	в то же	2	3
13	в данном случае	5	2
14	а не только	2	2
15	состоит в том	4	2
16	по крайней мере	3	2
17	в частности в	2	2
18	в значительной степени	2	2
19	мы имеем дело	3	2
20	едва ли не	2	2
21	в соответствии с	2	2
22	не только в	2	2
23	подобно тому как	3	2
24	то есть в	2	2
