N	2gram	Bakhtin_Fr_1	TeoriaLi
1	не только	10	18
2	и не	22	16
3	в частности	5	13
4	и в	65	13
5	может быть	6	12
6	так и	10	12
7	то есть	45	12
8	при этом	6	11
9	в этом	15	11
10	в том	16	11
11	но не	2	10
12	и его	10	10
13	в его	9	9
14	что в	3	8
15	но и	10	8
16	в себе	3	7
17	том что	6	7
18	во второй	2	7
19	в отличие	4	7
20	точки зрения	7	7
21	по своей	3	7
22	только в	7	7
23	отличие от	5	7
24	с его	5	6
25	еще не	6	6
26	как бы	22	6
27	но в	14	6
28	и одновременно	5	5
29	в своем	8	5
30	или иной	5	5
31	в ее	3	5
32	как и	5	5
33	не в	4	5
34	между ними	4	5
35	в самом	4	5
36	в нем	13	5
37	как в	5	5
38	он не	2	5
39	уже не	3	5
40	жизни как	3	5
41	с другой	3	5
42	между тем	5	5
43	в искусстве	3	5
44	можно сказать	2	4
45	в своей	5	4
46	то что	3	4
47	отношение к	4	4
48	в форме	3	4
49	в их	4	4
50	приводит к	2	4
51	и т.п	17	4
52	не может	3	4
53	сказать что	6	4
54	хотя и	2	4
55	не знает	6	4
56	мира и	4	4
57	ни к	2	3
58	и др	24	3
59	никогда не	6	3
60	в этих	2	3
61	в отношении	6	3
62	в противоположность	2	3
63	прежде всего	11	3
64	и к	4	3
65	по своему	8	3
66	для него	5	3
67	того что	2	3
68	например в	2	3
69	той или	5	3
70	и потому	10	3
71	как раз	3	3
72	входит в	4	3
73	мира в	3	3
74	и вот	2	3
75	и по	2	3
76	или в	2	3
77	потому что	5	3
78	нового времени	13	3
79	в основе	8	3
80	речи и	2	3
81	в этой	4	3
82	его в	7	3
83	все эти	10	3
84	в эпизоде	2	3
85	но на	3	2
86	могут быть	2	2
87	за пределы	8	2
88	жизни в	5	2
89	это не	3	2
90	этих двух	2	2
91	на фоне	3	2
92	вовсе не	18	2
93	в литературе	6	2
94	что он	3	2
95	совершенно иной	2	2
96	к тому	2	2
97	но как	3	2
98	одной стороны	2	2
99	в большинстве	2	2
100	в виду	3	2
101	к жизни	2	2
102	даже в	3	2
103	и особенно	2	2
104	к нему	3	2
105	в целом	2	2
106	во всех	9	2
107	в романе	2	2
108	и для	2	2
109	с одной	2	2
110	в себя	3	2
111	в году	6	2
112	в той	5	2
113	с точки	3	2
114	и даже	8	2
115	во всей	3	2
116	роль в	2	2
117	культуры в	4	2
118	их в	2	2
119	человеческих отношений	2	2
120	и здесь	3	2
121	о том	2	2
122	жизни но	2	2
123	и это	2	2
124	в чем	2	2
125	отношения к	2	2
126	в области	7	2
127	это было	2	2
