N	2gram	Voloshinov_1	Mirosoze
1	и в	38	46
2	в нем	4	22
3	может быть	13	21
4	в этом	10	20
5	никогда не	7	18
6	для него	3	18
7	и не	14	18
8	не только	27	18
9	но и	13	15
10	не может	12	15
11	человека в	2	14
12	как и	10	13
13	а не	6	13
14	прежде всего	21	12
15	друг друга	2	12
16	потому что	5	12
17	не было	2	11
18	в ней	8	11
19	у нас	4	11
20	и он	2	11
21	та же	3	10
22	но в	5	10
23	он не	2	10
24	в себе	9	10
25	не в	6	9
26	не знает	3	9
27	но это	2	8
28	как бы	28	8
29	так как	7	8
30	отношение к	2	8
31	в мире	2	7
32	в этой	6	7
33	в нашем	5	7
34	человек не	2	7
35	что он	2	7
36	и к	4	7
37	и потому	2	7
38	как в	2	7
39	хотя бы	18	7
40	и для	3	7
41	вопрос о	2	6
42	что это	4	6
43	так же	4	6
44	того что	4	6
45	и здесь	3	6
46	жизни и	3	6
47	то же	14	5
48	бы и	2	5
49	в отношении	2	5
50	и вот	3	5
51	в самом	4	5
52	один из	4	5
53	те же	4	5
54	это не	3	5
55	в конце	6	5
56	и все	4	5
57	есть не	2	5
58	к тому	4	5
59	то что	8	5
60	в своей	2	5
61	для того	9	5
62	и его	7	5
63	в его	6	5
64	и это	7	5
65	тому что	5	4
66	жизни это	2	4
67	человека не	4	4
68	что у	3	4
69	также и	2	4
70	с его	7	4
71	в жизни	2	4
72	в свою	6	4
73	том что	3	4
74	должен быть	2	4
75	перед ним	3	4
76	что и	3	4
77	себя в	4	4
78	так и	6	4
79	уже не	4	4
80	того чтобы	7	4
81	к чему	2	4
82	у них	2	4
83	вопроса о	4	4
84	и от	7	3
85	в том	2	3
86	с самим	2	3
87	и нет	2	3
88	было в	4	3
89	не мог	3	3
90	не так	3	3
91	в своих	2	3
92	и на	6	3
93	сказать что	3	3
94	и с	5	3
95	что иное	2	3
96	по своей	2	3
97	о том	4	3
98	его в	4	3
99	нет ничего	2	3
100	с ним	2	3
101	иное как	2	3
102	не существует	4	3
103	если бы	4	3
104	что было	3	3
105	не что	4	3
106	связано с	2	3
107	не будет	3	3
108	сих пор	2	3
109	от того	3	3
110	и тогда	2	3
111	той же	5	3
112	тем что	2	3
113	только в	6	3
114	место в	2	2
115	уже в	5	2
116	в этих	2	2
117	быть может	3	2
118	не всегда	2	2
119	или иной	4	2
120	но эта	2	2
121	все время	5	2
122	я и	2	2
123	да и	4	2
124	нас не	2	2
125	на его	5	2
126	другого человека	2	2
127	и той	5	2
128	но для	3	2
129	хотя и	3	2
130	к нему	2	2
131	не к	3	2
132	этот процесс	2	2
133	отношения к	3	2
134	в разных	3	2
135	лишь в	4	2
136	должно быть	2	2
137	его не	2	2
138	а в	5	2
139	увидим что	2	2
140	в основе	2	2
141	точки зрения	10	2
142	бы в	5	2
143	между тем	3	2
144	были бы	4	2
145	с собой	2	2
146	то он	3	2
147	себе в	2	2
148	если он	3	2
149	перейти в	2	2
150	мы видим	3	2
151	связи с	3	2
152	тот же	2	2
153	мы увидим	5	2
154	себе и	2	2
155	во всех	6	2
156	вместе с	5	2
157	и социального	3	2
158	что же	8	2
159	бы не	2	2
160	еще более	2	2
161	одной и	2	2
162	к своему	4	2
163	и эта	3	2
164	можно было	4	2
165	которые в	2	2
166	в которой	7	2
167	ничего не	8	2
168	и поэтому	3	2
