N	2gram	Losev_Vesc_1	FransuaR
1	и в	21	45
2	и не	29	15
3	не только	36	14
4	в этом	4	14
5	но в	5	14
6	в его	2	13
7	во всех	2	13
8	и его	2	13
9	как бы	12	12
10	что в	9	12
11	в своем	6	11
12	то же	6	11
13	в то	3	11
14	прежде всего	9	10
15	в том	8	10
16	в нем	2	10
17	но и	18	10
18	как и	8	10
19	и с	8	10
20	вовсе не	10	8
21	как мы	4	8
22	в ней	12	8
23	жизни и	2	8
24	таким образом	8	8
25	в самой	2	8
26	в конце	2	7
27	том что	8	7
28	не в	5	7
29	что и	3	7
30	все это	5	7
31	также и	6	7
32	потому что	16	7
33	и все	5	7
34	в этой	3	6
35	так и	3	6
36	мысли и	3	6
37	того чтобы	3	6
38	для того	2	6
39	так как	7	6
40	есть и	4	5
41	с ним	8	5
42	это и	6	5
43	мы видим	2	5
44	но это	10	5
45	на этом	2	5
46	хотя и	4	5
47	с ее	6	5
48	от всех	4	5
49	и их	7	5
50	как раз	9	5
51	не может	17	5
52	все эти	3	5
53	в себя	13	5
54	самом деле	4	5
55	и у	3	5
56	и как	8	5
57	его в	2	5
58	перед нами	2	4
59	об этом	3	4
60	и во	3	4
61	и от	3	4
62	мы не	6	4
63	у него	2	4
64	и здесь	4	4
65	но не	5	4
66	ничего не	3	4
67	кроме того	4	4
68	в самом	9	4
69	в сущности	4	4
70	и о	3	4
71	между собою	6	4
72	мы уже	3	4
73	в первой	2	4
74	мы находим	2	4
75	а не	19	4
76	и даже	6	4
77	а в	4	4
78	той же	2	4
79	можно было	2	4
80	сказать что	17	4
81	в основе	3	4
82	чем же	3	4
83	с этим	3	4
84	точки зрения	5	4
85	только в	14	4
86	о том	6	4
87	и это	14	4
88	бы в	5	4
89	как это	2	4
90	не менее	3	3
91	нисколько не	4	3
92	от его	2	3
93	вообще не	2	3
94	это не	5	3
95	в одном	2	3
96	что на	2	3
97	по существу	2	3
98	но на	2	3
99	того же	5	3
100	с полной	4	3
101	для него	4	3
102	в своей	5	3
103	от того	3	3
104	но она	3	3
105	что она	15	3
106	еще и	8	3
107	и вот	2	3
108	того что	8	3
109	и для	9	3
110	но он	2	3
111	ведь и	5	3
112	в другом	2	3
113	дело в	4	3
114	и образ	3	3
115	почти все	2	3
116	если мы	8	2
117	с тем	5	2
118	независимо от	5	2
119	и есть	26	2
120	мы еще	2	2
121	себя и	4	2
122	тут же	2	2
123	и без	3	2
124	говорить о	6	2
125	хотя бы	6	2
126	относится к	5	2
127	кто не	3	2
128	перестает быть	3	2
129	что все	2	2
130	можно сказать	6	2
131	к тому	3	2
132	в отношении	4	2
133	то что	27	2
134	отрыве от	2	2
135	как ее	2	2
136	нельзя было	4	2
137	из его	2	2
138	но именно	2	2
139	было бы	14	2
140	что это	13	2
141	и если	2	2
142	в отрыве	2	2
143	к ней	2	2
144	может быть	16	2
145	на столе	2	2
146	один из	3	2
147	должен быть	2	2
148	слова и	5	2
149	все же	4	2
150	данном случае	2	2
151	мы говорили	2	2
152	в свете	7	2
153	и только	3	2
154	чем не	2	2
155	можно говорить	2	2
156	и что	15	2
157	и больше	9	2
158	с точки	3	2
159	и притом	3	2
160	нас в	3	2
161	в данном	5	2
162	мы можем	4	2
163	ту же	2	2
164	в чем	6	2
165	от этого	2	2
