N	2gram	Tiupa_Teor_1	PoTuStor
1	может быть	17	17
2	и в	18	16
3	прежде всего	2	9
4	таким образом	3	9
5	в этом	8	9
6	и его	8	8
7	точки зрения	9	8
8	не может	4	8
9	с его	5	7
10	сказать что	3	7
11	не только	16	7
12	и это	2	6
13	и к	3	6
14	с точки	3	6
15	для него	2	6
16	при этом	12	6
17	я и	2	6
18	отношение к	5	5
19	все эти	2	5
20	ни в	2	5
21	еще не	4	5
22	как бы	5	5
23	в нем	4	4
24	отнюдь не	3	4
25	но и	9	4
26	так и	10	4
27	все это	2	4
28	и не	13	4
29	и ее	3	4
30	можно сказать	3	4
31	и даже	2	4
32	в этой	3	4
33	с ее	3	4
34	только в	6	4
35	его в	2	4
36	но в	9	4
37	в его	6	4
38	на две	3	3
39	в этих	3	3
40	что в	9	3
41	могут быть	4	3
42	вместе с	2	3
43	в большинстве	2	3
44	отношения к	2	3
45	в одном	2	3
46	этом смысле	2	3
47	и вот	3	3
48	и притом	2	3
49	в том	16	3
50	а в	13	3
51	том что	9	3
52	и как	2	3
53	с другими	5	3
54	с их	2	3
55	то что	3	3
56	их в	3	3
57	в основе	3	3
58	как это	8	3
59	в области	4	3
60	в конечном	6	3
61	и потому	2	3
62	между ними	4	3
63	не менее	4	2
64	ее в	2	2
65	один из	2	2
66	не могут	2	2
67	что и	2	2
68	в душе	8	2
69	не будет	2	2
70	конечном счете	6	2
71	в частности	16	2
72	никогда не	4	2
73	между собой	3	2
74	в них	2	2
75	если мы	2	2
76	того же	3	2
77	из этих	3	2
78	в жизни	2	2
79	то же	7	2
80	не знает	3	2
81	в итоге	2	2
82	сводится к	5	2
83	в одно	2	2
84	и т.п	4	2
85	и по	2	2
86	и для	2	2
87	как и	4	2
88	на основе	2	2
89	своей жизни	2	2
90	так же	2	2
91	есть в	2	2
92	по своему	2	2
93	не на	2	2
94	а на	3	2
95	он не	3	2
96	что можно	3	2
97	говорить о	3	2
98	в пределах	5	2
99	из тех	2	2
100	в самом	4	2
101	за пределы	2	2
102	в своей	6	2
103	и о	4	2
104	для меня	2	2
