N	2gram	Tiupa_Narr_1	Myshleni
1	то что	11	26
2	что он	6	25
3	в этом	17	25
4	в том	18	18
5	не может	10	18
6	точки зрения	10	18
7	что в	3	16
8	и в	19	16
9	не только	32	16
10	так же	2	15
11	том что	14	15
12	в сущности	3	13
13	сказать что	4	13
14	между собой	2	13
15	отношению к	6	12
16	по отношению	7	12
17	и не	20	12
18	в области	2	12
19	отношение к	2	11
20	в его	9	11
21	но не	5	10
22	было бы	4	10
23	как мы	3	10
24	а не	12	10
25	в силу	4	10
26	только в	4	10
27	может быть	25	9
28	с точки	2	9
29	точка зрения	6	8
30	о том	6	8
31	как это	6	8
32	в основе	5	8
33	в известном	2	8
34	как и	7	8
35	он не	3	8
36	то же	4	8
37	тем самым	6	8
38	же как	3	7
39	известном смысле	2	7
40	в нем	4	7
41	так и	9	7
42	по себе	5	7
43	представляет собой	13	7
44	приводит к	2	7
45	переход от	4	7
46	в какой	2	6
47	не в	14	6
48	в этой	5	6
49	но и	23	6
50	и на	3	6
51	но в	6	6
52	у него	4	6
53	состоит в	13	6
54	языка и	2	6
55	к тому	7	6
56	в той	6	6
57	должна быть	2	5
58	никогда не	3	5
59	в своем	2	5
60	что они	3	5
61	для него	2	5
62	как бы	4	5
63	не является	8	5
64	хотя бы	4	5
65	этом отношении	3	5
66	в то	3	5
67	можно сказать	5	5
68	как в	7	5
69	можно было	2	5
70	тем что	3	5
71	ничего не	2	5
72	зависит от	2	4
73	все эти	2	4
74	с другой	8	4
75	это не	2	4
76	в свою	3	4
77	в пределах	2	4
78	при этом	9	4
79	именно в	6	4
80	не имеет	2	4
81	что мы	2	4
82	в результате	2	4
83	к которому	2	4
84	точек зрения	2	4
85	тем более	2	4
86	в качестве	21	4
87	как известно	2	4
88	еще не	7	4
89	не есть	3	4
90	тому как	2	4
91	могут быть	3	4
92	не то	2	4
93	подобно тому	2	4
94	этой точки	2	4
95	и т.д	7	4
96	не менее	3	3
97	в частности	14	3
98	прежде всего	4	3
99	и как	5	3
100	самом деле	2	3
101	свою очередь	3	3
102	одной стороны	7	3
103	но как	2	3
104	и тот	2	3
105	к нему	5	3
106	если в	3	3
107	и тем	4	3
108	с одной	7	3
109	они не	2	3
110	а в	11	3
111	и с	4	3
112	приходит к	2	3
113	говорить о	2	3
114	по своей	3	3
115	в первом	3	3
116	между тем	3	3
117	между двумя	5	3
118	включает в	2	3
119	все же	7	3
120	по существу	2	3
121	это и	3	3
122	то в	6	3
123	одной из	4	3
124	говорит о	2	3
125	не на	2	3
126	в себя	6	3
127	из которых	4	3
128	и его	5	3
129	связи с	4	3
130	себя и	2	2
131	что у	2	2
132	столь же	3	2
133	совершенно очевидно	2	2
134	но все	4	2
135	вслед за	4	2
136	имеет место	4	2
137	одним из	2	2
138	в ней	3	2
139	совершенно не	2	2
140	из них	3	2
141	в отличие	5	2
142	представляют собой	2	2
143	которая в	2	2
144	другой стороны	4	2
145	отношения к	2	2
146	те же	4	2
147	и даже	3	2
148	о чем	2	2
149	в случае	7	2
150	его в	2	2
151	не с	3	2
152	же в	4	2
153	отличие от	5	2
154	во второй	2	2
155	жизни и	3	2
156	когда он	3	2
157	в область	2	2
158	и потому	2	2
159	именно это	2	2
160	тому же	5	2
161	а с	3	2
162	существенным образом	2	2
163	совершенно иной	2	2
164	на протяжении	6	2
165	как будто	3	2
