N	2gram	Voloshinov_1	Psycholo
1	и в	16	38
2	то что	3	35
3	в том	3	25
4	в самом	2	25
5	самом деле	6	21
6	что в	3	20
7	может быть	17	19
8	точки зрения	8	16
9	том что	3	14
10	как бы	5	14
11	в этой	4	13
12	и мы	2	13
13	в этом	9	13
14	мы видим	2	12
15	было бы	2	12
16	не только	7	12
17	таким образом	9	12
18	что он	2	11
19	что это	2	10
20	то же	2	10
21	и не	4	10
22	и все	4	10
23	с точки	6	9
24	с этим	2	8
25	в одном	3	8
26	для нас	2	8
27	как и	2	8
28	и как	3	8
29	и это	6	8
30	мы можем	9	7
31	не может	8	7
32	как мы	4	7
33	а в	3	7
34	мы уже	2	7
35	все то	2	7
36	с самого	4	6
37	до сих	3	6
38	один из	2	6
39	он не	2	6
40	так как	4	6
41	если мы	2	6
42	как это	3	6
43	и его	8	6
44	и на	4	6
45	самого начала	4	6
46	о том	2	6
47	на этом	3	5
48	совершенно не	8	5
49	в своей	2	5
50	вместе с	3	5
51	но и	4	5
52	сих пор	3	5
53	мы не	2	5
54	в его	4	5
55	никогда не	2	4
56	по своему	2	4
57	при этом	6	4
58	не можем	2	4
59	и для	2	4
60	конечно не	6	4
61	во всех	3	4
62	в нем	4	4
63	что и	2	4
64	ее в	2	4
65	все эти	5	4
66	и даже	4	4
67	сказать что	7	4
68	у него	2	4
69	только в	4	4
70	в них	2	3
71	только для	5	3
72	из этих	2	3
73	к этому	2	3
74	и к	6	3
75	ни в	5	3
76	но это	2	3
77	совсем не	2	3
78	того же	2	3
79	в один	4	3
80	и о	2	3
81	в основе	3	3
82	и этот	2	3
83	и значение	3	3
84	все это	4	3
85	и только	9	3
86	что не	2	3
87	к ним	2	3
88	его в	4	3
89	едва ли	3	3
90	но в	4	3
91	в общем	3	2
92	не могут	2	2
93	можно назвать	2	2
94	в этих	3	2
95	отнюдь не	4	2
96	чувства и	2	2
97	между собой	2	2
98	хотя бы	4	2
99	с этой	2	2
100	на самом	4	2
101	во всяком	3	2
102	что оно	2	2
103	и ее	4	2
104	своей жизни	2	2
105	есть в	2	2
106	аналогии с	2	2
107	только то	2	2
108	для него	6	2
109	и может	4	2
110	со всеми	2	2
111	они не	2	2
112	всяком случае	3	2
113	можем сказать	2	2
114	для этого	2	2
115	но мы	4	2
116	с ее	4	2
117	так же	2	2
118	по аналогии	2	2
119	отношения к	3	2
120	и вот	3	2
121	для всех	4	2
122	и наконец	4	2
123	и по	2	2
124	их в	3	2
125	к себе	3	2
126	но как	2	2
127	с ним	2	2
128	и действительно	2	2
