N	2gram	Tiupa_Hudo_1	slovoVRo
1	и в	19	41
2	в нем	5	30
3	то есть	18	26
4	в романе	3	21
5	могут быть	4	19
6	во всех	3	17
7	но и	10	16
8	и не	15	16
9	точки зрения	10	16
10	языка в	4	16
11	не только	16	16
12	а не	9	15
13	то же	10	14
14	в пределах	3	14
15	может быть	14	14
16	и др	2	14
17	не может	7	14
18	и его	12	14
19	и на	2	14
20	в то	6	14
21	в его	9	13
22	слова и	2	13
23	же время	5	12
24	как бы	9	12
25	в этом	11	12
26	так и	11	11
27	в узком	3	10
28	в той	3	10
29	или иной	7	9
30	той или	4	9
31	таким образом	3	9
32	все эти	2	9
33	себя в	7	9
34	слова в	2	8
35	прежде всего	4	8
36	но в	7	8
37	как в	2	8
38	с точки	3	8
39	или в	2	8
40	не в	7	7
41	отношение к	5	7
42	с ним	2	7
43	вовсе не	2	7
44	в своей	5	7
45	в слове	3	7
46	в отношении	3	6
47	того же	2	6
48	это не	2	6
49	при этом	13	6
50	а в	12	6
51	в них	2	6
52	слова как	5	6
53	только в	5	6
54	отношении к	2	6
55	с другой	7	5
56	роман и	2	5
57	в самом	5	5
58	все это	2	5
59	в основе	4	5
60	и к	3	5
61	не на	3	5
62	к нему	3	5
63	с другими	4	5
64	далеко не	2	5
65	одной стороны	2	4
66	известной степени	3	4
67	один из	2	4
68	с ее	5	4
69	в их	5	4
70	за пределы	2	4
71	с одной	2	4
72	лишь в	4	4
73	в которой	2	4
74	с его	6	4
75	не как	2	4
76	данный момент	2	4
77	как и	2	4
78	еще не	3	4
79	по преимуществу	2	4
80	и потому	2	4
81	на почве	3	4
82	быть и	2	4
83	входит в	4	4
84	другой стороны	5	4
85	и для	2	4
86	автора и	3	4
87	есть как	2	3
88	никогда не	2	3
89	из этих	3	3
90	к тому	4	3
91	в том	18	3
92	более или	5	3
93	в свою	3	3
94	для него	4	3
95	в своем	2	3
96	именно в	2	3
97	того что	4	3
98	о том	2	3
99	его в	2	3
100	произведения как	3	3
101	не могло	2	3
102	в себе	9	3
103	в качестве	24	3
104	одной из	2	3
105	он не	4	3
106	внутренней речи	14	3
107	из этого	2	3
108	или менее	5	3
109	в данном	4	3
110	и ее	3	3
111	свою очередь	2	2
112	в частности	13	2
113	тому что	2	2
114	и одновременно	5	2
115	или даже	3	2
116	том и	2	2
117	для понимания	2	2
118	можно сказать	5	2
119	например в	3	2
120	такого рода	10	2
121	это отношение	3	2
122	для того	2	2
123	хотя и	3	2
124	в контексте	3	2
125	между ними	4	2
126	и по	2	2
127	и тем	2	2
128	в целом	3	2
129	в этих	3	2
130	как к	2	2
131	уже не	4	2
132	так же	2	2
133	высказывания не	2	2
134	сказать что	4	2
135	потому что	3	2
136	но он	3	2
137	того или	3	2
138	между тем	4	2
139	не является	4	2
140	за пределами	3	2
141	между собой	2	2
142	дело не	2	2
143	в одном	2	2
144	или иного	3	2
145	том что	8	2
146	не с	2	2
147	то в	2	2
148	одна из	2	2
149	но не	11	2
150	по своему	2	2
151	а на	5	2
152	не предполагает	3	2
153	одно и	3	2
154	и о	3	2
155	а также	5	2
156	даже в	3	2
157	в ее	5	2
158	как раз	3	2
159	так в	4	2
160	а с	2	2
161	если мы	2	2
162	до известной	2	2
163	высказывания и	2	2
164	и то	4	2
165	с языком	3	2
166	в другом	3	2
167	жизни но	2	2
168	здесь не	2	2
