N	3gram	Losev_Prob_3	Myshleni
1	в том что	9	17
2	заключается в том	3	7
3	мы могли бы	3	7
4	в отличие от	2	6
5	можно было бы	3	5
6	тем не менее	10	5
7	в связи с	7	5
8	что и в	3	5
9	в то время	4	4
10	же как и	2	4
11	во всяком случае	6	4
12	то время как	4	4
13	это значит что	2	4
14	по сравнению с	2	3
15	та или иная	3	3
16	о том что	3	3
17	сами по себе	6	3
18	с другой стороны	5	3
19	как мы видели	2	3
20	в том виде	2	2
21	том виде как	2	2
22	той или иной	8	2
23	на первый план	2	2
24	и в этом	6	2
25	и то что	7	2
26	только потому что	2	2
27	того же типа	2	2
28	того или иного	3	2
29	само по себе	3	2
30	между знаком и	2	2
31	этой точки зрения	2	2
32	не может быть	5	2
