N	3gram	Losev_Dial_2	Psycholo
1	и т п	2	15
2	в том что	6	9
3	и т д	15	8
4	не может быть	3	8
5	в самом деле	3	7
6	о том что	4	7
7	во всяком случае	2	6
8	в то время	3	5
9	само по себе	2	5
10	с другой стороны	4	5
11	в зависимости от	2	5
12	то время как	3	5
13	только тогда когда	4	4
14	не в состоянии	2	3
15	ни в какой	2	3
16	до сих пор	2	3
17	как будто бы	3	2
18	более или менее	2	2
19	в таком случае	3	2
20	с точки зрения	8	2
21	то же самое	2	2
22	то или иное	4	2
23	по себе не	3	2
24	тем не менее	2	2
25	от того что	2	2
26	сама по себе	7	2
27	потому что он	2	2
