N	2gram	Bakhtin_Pr_1	Mirosoze
1	и в	23	46
2	у достоевского	24	34
3	в нем	20	22
4	у него	6	22
5	может быть	21	21
6	в этом	25	20
7	никогда не	5	18
8	для него	15	18
9	и не	34	18
10	не только	13	18
11	но и	11	15
12	не может	11	15
13	человека в	5	14
14	как и	8	13
15	а не	20	13
16	прежде всего	7	12
17	к человеку	2	12
18	друг друга	3	12
19	потому что	12	12
20	не было	3	11
21	но он	2	11
22	но в	4	10
23	он не	4	10
24	в себе	5	10
25	не в	6	9
26	достоевский был	4	9
27	и есть	5	8
28	но это	5	8
29	как бы	28	8
30	в своем	8	8
31	для достоевского	6	8
32	так как	7	8
33	она не	5	8
34	и достоевский	3	8
35	в мире	7	7
36	в этой	4	7
37	что он	10	7
38	и к	4	7
39	ивана карамазова	5	7
40	и потому	3	7
41	как в	6	7
42	хотя бы	2	7
43	и для	3	7
44	он сам	3	6
45	вопрос о	4	6
46	так же	6	6
47	того что	2	6
48	и здесь	3	6
49	жизни и	6	6
50	то же	10	5
51	я не	3	5
52	бы и	4	5
53	в отношении	2	5
54	что все	3	5
55	и вот	2	5
56	в самом	8	5
57	один из	2	5
58	что она	2	5
59	человеческого духа	2	5
60	достоевского к	5	5
61	это не	10	5
62	в конце	5	5
63	и все	3	5
64	в духе	3	5
65	есть не	2	5
66	достоевский не	5	5
67	по преимуществу	3	5
68	то что	18	5
69	в своей	11	5
70	для того	2	5
71	и его	13	5
72	в его	24	5
73	и это	5	5
74	что в	8	4
75	тому что	2	4
76	все что	3	4
77	до конца	5	4
78	они не	3	4
79	с его	6	4
80	в жизни	6	4
81	великого инквизитора	2	4
82	том что	9	4
83	что и	5	4
84	себя в	3	4
85	так и	10	4
86	уже не	8	4
87	того чтобы	4	4
88	интересует достоевского	2	4
89	его на	2	4
90	себя и	2	3
91	в каждом	8	3
92	ни в	3	3
93	в том	11	3
94	достоевский в	7	3
95	лишь как	5	3
96	и перед	2	3
97	и самого	4	3
98	менее всего	4	3
99	творчество достоевского	3	3
100	в своих	2	3
101	и на	10	3
102	сказать что	5	3
103	и с	4	3
104	творчестве достоевского	5	3
105	о том	2	3
106	его в	4	3
107	как он	2	3
108	с ним	6	3
109	если бы	10	3
110	в них	3	3
111	к другому	2	3
112	и во	2	3
113	достоевского не	11	3
114	что было	3	3
115	это и	9	3
116	до сих	2	3
117	самого достоевского	6	3
118	сих пор	2	3
119	от того	2	3
120	сам достоевский	2	3
121	все равно	2	3
122	той же	6	3
123	тем что	3	3
124	он в	2	3
125	только в	8	3
126	отношении к	2	3
127	есть в	3	3
128	в творчестве	5	3
129	только с	2	3
130	уже в	5	2
131	сам он	3	2
132	в этих	2	2
133	мир и	6	2
134	в человеке	6	2
135	но эта	4	2
136	да и	2	2
137	как у	2	2
138	подполья и	2	2
139	со своим	3	2
140	из подполья	11	2
141	на его	2	2
142	жизни а	2	2
143	другого человека	4	2
144	но для	2	2
145	в сфере	2	2
146	к нему	3	2
147	по отношению	11	2
148	отношения к	2	2
149	и других	5	2
150	достоевского и	12	2
151	лишь в	3	2
152	а в	7	2
153	к себе	2	2
154	в основе	5	2
155	герои достоевского	3	2
156	точки зрения	21	2
157	самим собою	2	2
158	бы в	3	2
159	человек и	2	2
160	нет ни	2	2
161	между тем	5	2
162	замыкается в	2	2
163	по достоевскому	2	2
164	были бы	4	2
165	и самое	2	2
166	то он	3	2
167	же что	2	2
168	личности в	4	2
169	по себе	7	2
170	мы видим	3	2
171	в обычном	2	2
172	чем в	2	2
173	достоевского нет	3	2
174	тот же	2	2
175	себе и	3	2
176	в сущности	5	2
177	во всех	5	2
178	оно не	2	2
179	отношению к	11	2
180	вместе с	2	2
181	момент его	2	2
182	то перед	2	2
183	человеческой жизни	2	2
184	ни одного	2	2
185	можно было	3	2
186	тому как	3	2
187	достоевским и	2	2
188	последний день	2	2
189	подобно тому	3	2
190	сознания и	3	2
191	как будто	3	2
192	достоевского в	19	2
193	и этим	2	2
194	в которой	4	2
195	ничего не	6	2
