N	2gram	Tiupa_Teor_1	Freidism
1	таким образом	3	24
2	и не	13	23
3	– это	18	21
4	не может	4	20
5	точки зрения	9	19
6	прежде всего	2	18
7	в этом	8	15
8	в его	6	15
9	в душе	8	13
10	может быть	17	13
11	и его	8	12
12	– в	15	11
13	как и	4	11
14	как бы	5	11
15	то что	3	11
16	все эти	2	11
17	с точки	3	11
18	и потому	2	10
19	так и	10	10
20	его в	2	10
21	но в	9	10
22	с его	5	9
23	и в	18	9
24	по отношению	4	9
25	отношению к	4	8
26	еще не	4	8
27	в своей	6	8
28	он не	3	8
29	не только	16	8
30	все это	2	8
31	то же	7	8
32	только в	6	8
33	ни в	2	7
34	один из	2	7
35	отношение к	5	7
36	в самом	4	7
37	– не	4	7
38	сказать что	3	7
39	– как	2	6
40	никогда не	4	6
41	вовсе не	3	6
42	и ее	3	6
43	для него	2	6
44	за пределы	2	6
45	того что	4	6
46	– все	3	6
47	и к	3	5
48	в свою	3	5
49	можно сказать	3	5
50	не в	7	5
51	в этой	3	5
52	в то	6	5
53	в большинстве	2	5
54	что в	9	5
55	но и	9	5
56	в себя	3	5
57	а в	13	5
58	могут быть	4	5
59	я и	2	5
60	– с	5	4
61	не менее	4	4
62	но не	9	4
63	в следующей	2	4
64	я не	2	4
65	внешней речи	2	4
66	в этих	3	4
67	из этих	3	4
68	в пределах	5	4
69	в жизни	2	4
70	если мы	2	4
71	с другими	5	4
72	к тому	2	4
73	об этом	2	4
74	сводится к	5	4
75	же время	5	4
76	– и	2	4
77	при этом	12	4
78	и о	4	4
79	как раз	2	4
80	в основе	3	4
81	в нем	4	4
82	данном случае	5	4
83	между ними	4	4
84	уже не	4	4
85	и для	2	4
86	в которой	2	4
87	с их	2	4
88	в данном	8	4
89	потому что	3	4
90	говорить о	3	4
91	не могут	2	3
92	если бы	3	3
93	конечном счете	6	3
94	внутренней и	2	3
95	тому что	2	3
96	в них	2	3
97	во втором	3	3
98	о себе	2	3
99	на себя	2	3
100	в конечном	6	3
101	а только	3	3
102	в себе	9	3
103	и как	2	3
104	человека к	3	3
105	по своему	2	3
106	случае не	2	3
107	в узком	3	3
108	что может	2	3
109	из которого	3	3
110	ее в	2	3
111	с ее	3	3
112	себя в	6	3
113	вместе с	2	3
114	со стороны	2	3
115	приводит к	5	3
116	сознания –	2	3
117	не знает	3	3
118	как в	5	3
119	и вот	3	3
120	и что	3	3
121	свою очередь	2	3
122	и т.п	4	3
123	и по	2	3
124	между двумя	3	3
125	мы имеем	7	3
126	в искусстве	6	3
127	и внешней	3	3
128	человека с	2	3
129	не является	4	3
130	из тех	2	2
131	этих двух	2	2
132	в отношении	3	2
133	но их	3	2
134	только не	2	2
135	и другие	2	2
136	быть и	2	2
137	в нашем	4	2
138	между собой	3	2
139	в какой	2	2
140	того же	3	2
141	с другой	7	2
142	это не	2	2
143	произведение искусства	5	2
144	в конце	2	2
145	для понимания	2	2
146	таких случаях	2	2
147	тем не	3	2
148	в ее	5	2
149	том что	9	2
150	во внутренней	2	2
151	в глаза	2	2
152	а не	9	2
153	одной стороны	2	2
154	внешнего мира	2	2
155	в своем	4	2
156	на почве	4	2
157	я –	3	2
158	на две	3	2
159	во второй	7	2
160	дело не	2	2
161	что она	2	2
162	жизни –	2	2
163	в их	2	2
164	отличается от	2	2
165	отношения к	2	2
166	а с	3	2
167	с одной	2	2
168	внутренней речи	13	2
169	в отличие	6	2
170	и даже	2	2
171	и притом	2	2
172	так же	2	2
173	отличие от	6	2
174	роль в	2	2
175	на основе	2	2
176	и то	2	2
177	их в	3	2
178	может оказаться	2	2
179	что и	2	2
180	к его	2	2
181	в другом	3	2
182	речи и	2	2
183	жизни но	2	2
184	в первом	2	2
185	как это	8	2
186	в области	4	2
187	в момент	2	2
188	в виду	5	2
189	это было	2	2
