N	2gram	Nazirov_Tr_1	Komedia
1	и в	18	22
2	и не	7	21
3	том что	4	13
4	в том	2	12
5	ни в	2	10
6	потому что	2	10
7	в самом	2	9
8	в своем	3	8
9	что он	6	8
10	в его	3	8
11	что и	2	8
12	в глазах	2	8
13	в этом	9	8
14	о том	2	8
15	его в	2	8
16	о чем	3	7
17	об этом	4	7
18	при этом	3	7
19	то же	5	7
20	в конце	3	7
21	еще не	4	6
22	к тому	2	6
23	iii в	3	6
24	может быть	7	6
25	и что	4	6
26	так что	2	6
27	и его	6	6
28	в то	5	6
29	что в	4	5
30	же время	6	5
31	прежде всего	4	5
32	как это	3	5
33	и сам	3	5
34	не только	8	5
35	отношение к	2	5
36	все это	4	5
37	он не	2	5
38	ненависти к	2	5
39	тем что	2	5
40	к нему	3	5
41	с ним	3	5
42	но в	6	5
43	с тем	2	4
44	но все	2	4
45	у него	6	4
46	отнюдь не	3	4
47	и здесь	2	4
48	он был	2	4
49	все же	5	4
50	не в	2	4
51	до конца	2	4
52	несмотря на	5	4
53	то что	4	4
54	но и	4	4
55	что она	2	4
56	друг друга	2	4
57	так же	4	4
58	тут же	2	4
59	в себе	4	4
60	так и	5	4
61	и с	7	4
62	ничем не	2	4
63	с его	2	3
64	в частности	2	3
65	никогда не	2	3
66	в глаза	2	3
67	в нем	4	3
68	в ее	2	3
69	как и	5	3
70	в этой	4	3
71	который в	2	3
72	как бы	7	3
73	один из	3	3
74	в целом	4	3
75	отцом и	2	3
76	не может	5	3
77	дома и	2	3
78	столь же	2	3
79	и даже	4	3
80	не имеет	2	3
81	не так	2	3
82	ничего не	2	3
83	под влиянием	2	2
84	уже в	3	2
85	как в	3	2
86	это не	5	2
87	и все	4	2
88	в одном	2	2
89	но при	2	2
90	в образе	6	2
91	и я	2	2
92	не могут	2	2
93	а как	2	2
94	о его	2	2
95	отличие от	2	2
96	его дочь	2	2
97	что с	3	2
98	не мог	2	2
99	и он	3	2
100	я ведь	2	2
101	в известной	2	2
102	по мнению	2	2
103	даже если	2	2
104	в мире	3	2
105	в таком	2	2
106	и на	7	2
107	он и	2	2
108	и ее	2	2
109	и это	2	2
110	отца и	2	2
