N	2gram	Nazirov_Vr_1	Problemy
1	и в	8	43
2	и не	5	29
3	т е	3	26
4	может быть	4	23
5	как бы	4	22
6	не может	2	18
7	у достоевского	4	14
8	но и	7	14
9	как и	6	14
10	точки зрения	2	13
11	в этом	8	13
12	что он	4	13
13	в нем	6	12
14	не только	9	11
15	но в	6	10
16	в его	3	10
17	никогда не	2	9
18	еще не	2	9
19	он не	3	9
20	для него	2	8
21	то же	5	8
22	с точки	2	8
23	и его	3	8
24	о себе	3	7
25	в него	2	7
26	к себе	2	7
27	в то	5	7
28	то что	7	7
29	в том	3	6
30	при этом	4	6
31	в котором	6	6
32	и все	7	6
33	что ж	2	6
34	у него	5	6
35	что я	2	6
36	о нем	6	6
37	на то	3	5
38	же время	5	5
39	все это	4	5
40	таким образом	2	5
41	а в	2	5
42	рядом с	2	5
43	и с	6	5
44	о том	4	5
45	и что	8	5
46	в той	2	5
47	и он	2	5
48	в себе	2	5
49	я не	3	4
50	что в	7	4
51	в своем	3	4
52	но это	2	4
53	у тургенева	11	4
54	их в	2	4
55	но он	3	4
56	человека в	3	4
57	во время	2	4
58	с его	3	4
59	в них	2	4
60	в своей	2	4
61	том же	2	4
62	достоевского в	7	4
63	достоевский в	8	4
64	как раз	2	4
65	далеко не	3	4
66	и это	2	4
67	же не	2	4
68	не менее	2	3
69	это не	4	3
70	он сам	2	3
71	достоевского не	4	3
72	он был	3	3
73	в виду	4	3
74	он тоже	2	3
75	и даже	6	3
76	его в	3	3
77	с ним	4	3
78	между тем	5	3
79	в романе	6	3
80	все же	6	3
81	уже не	2	3
82	тем что	3	3
83	и ее	2	3
84	в эту	2	3
85	уже в	4	2
86	его и	2	2
87	что у	3	2
88	в конце	3	2
89	как же	2	2
90	для нас	4	2
91	достоевского он	2	2
92	и как	3	2
93	из подполья	3	2
94	отношение к	2	2
95	целый ряд	4	2
96	отношения к	2	2
97	достоевского и	7	2
98	очень хорошо	2	2
99	так же	4	2
100	в своих	4	2
101	письме к	4	2
102	из них	2	2
103	в письме	5	2
104	об этом	5	2
105	одна из	2	2
106	достоевский не	3	2
107	в повести	2	2
108	и о	3	2
109	он пишет	2	2
110	а с	2	2
111	том что	3	2
112	и то	2	2
