N	2gram	Propp_Isto_2	VerxiiNi
1	и в	15	26
2	таким образом	7	22
3	с тем	9	18
4	вместе с	7	15
5	в этом	11	15
6	как бы	6	12
7	в том	6	11
8	может быть	17	10
9	не только	18	10
10	и с	4	10
11	из этих	3	10
12	связи с	8	9
13	что в	12	9
14	но и	14	9
15	магической силы	2	9
16	так как	14	9
17	с другой	2	8
18	главным образом	2	8
19	но не	2	8
20	и не	11	8
21	том что	7	7
22	но все	5	7
23	одной стороны	3	7
24	из них	2	7
25	к нему	5	7
26	то что	12	7
27	а с	2	7
28	с одной	4	7
29	потому что	9	7
30	но в	6	7
31	представление о	2	6
32	к тому	5	6
33	что и	6	6
34	все же	9	6
35	так и	5	6
36	все это	3	6
37	все эти	4	6
38	в себе	4	6
39	мы должны	4	6
40	о том	3	6
41	тому же	2	5
42	до сих	6	5
43	одной из	4	5
44	в его	6	5
45	никогда не	15	5
46	сих пор	7	5
47	так же	13	5
48	а не	5	5
49	того чтобы	2	5
50	в силу	2	5
51	и для	2	5
52	должен был	3	4
53	в этих	11	4
54	попадает в	5	4
55	и вместе	2	4
56	что он	24	4
57	в нем	7	4
58	в котором	5	4
59	не может	5	4
60	и только	2	4
61	а в	12	4
62	то же	10	4
63	и что	6	4
64	и по	2	4
65	с другими	2	4
66	в которых	2	4
67	боги и	2	4
68	во время	2	4
69	он не	8	4
70	только в	6	4
71	в этой	4	4
72	же как	5	3
73	и другие	4	3
74	что это	6	3
75	но по	3	3
76	подойти к	2	3
77	хотя бы	2	3
78	точно так	6	3
79	уже с	2	3
80	с самого	2	3
81	так что	6	3
82	представляет собой	5	3
83	в качестве	3	3
84	и если	2	3
85	отношению к	3	3
86	когда он	3	3
87	оказывается что	2	3
88	в связи	5	3
89	при этом	4	3
90	но с	2	3
91	того что	3	3
92	в которой	2	3
93	что эти	4	3
94	на нее	2	3
95	в других	3	3
96	в одном	5	3
97	уже в	2	2
98	самого начала	2	2
99	он в	3	2
100	именно в	2	2
101	состоит в	2	2
102	одно из	2	2
103	связана с	6	2
104	превращается в	2	2
105	прежде всего	5	2
106	на то	3	2
107	эти действия	2	2
108	а также	2	2
109	и здесь	9	2
110	по существу	2	2
111	мы видели	2	2
112	ни один	2	2
113	что мы	3	2
114	еще не	9	2
115	и из	2	2
116	в русских	3	2
117	должно было	3	2
118	но если	3	2
119	один из	8	2
120	во всех	2	2
121	связь с	4	2
122	приводит к	2	2
123	из человеческих	3	2
124	в разных	2	2
125	в тело	2	2
126	не было	2	2
127	мы имеем	15	2
128	с одним	3	2
129	его не	2	2
130	и на	4	2
131	в русском	2	2
132	связан с	5	2
133	сказать что	2	2
134	не в	7	2
135	мы можем	8	2
136	и наконец	5	2
137	не могла	2	2
138	и это	3	2
139	очень много	8	2
140	в эту	2	2
141	к которому	5	2
142	в виду	2	2
143	из него	2	2
