N	2gram	Nazirov_Vr_1	Psycholo
1	в том	3	37
2	и в	8	32
3	и что	8	22
4	том что	3	21
5	то что	7	21
6	таким образом	2	21
7	что в	7	20
8	так же	4	18
9	может быть	4	18
10	не может	2	17
11	точки зрения	2	17
12	что он	4	13
13	при этом	4	13
14	то же	5	13
15	в этом	8	13
16	не только	9	12
17	на то	3	11
18	при помощи	2	10
19	как и	6	10
20	но и	7	10
21	и не	5	10
22	с точки	2	10
23	никогда не	2	9
24	в своих	4	9
25	тем что	3	9
26	не менее	2	8
27	мы знаем	2	7
28	и как	3	7
29	и его	3	7
30	в этой	2	6
31	он не	3	6
32	как бы	4	6
33	целый ряд	4	6
34	о том	4	6
35	отнюдь не	2	5
36	что у	3	5
37	в ней	4	5
38	далеко не	3	5
39	все это	4	5
40	как раз	2	5
41	и даже	6	5
42	в то	5	5
43	же как	2	4
44	столь же	2	4
45	в чем	3	4
46	несмотря на	4	4
47	в нем	6	4
48	все же	6	4
49	из них	2	4
50	наряду с	3	4
51	а в	2	4
52	и все	7	4
53	и с	6	4
54	и это	2	4
55	между тем	5	4
56	но он	3	3
57	в конце	3	3
58	об этом	5	3
59	но как	2	3
60	в свою	2	3
61	в нашей	2	3
62	в своей	2	3
63	на это	2	3
64	и ее	2	3
65	и он	2	3
66	и то	2	3
67	но в	6	3
68	в виду	4	3
69	место в	2	2
70	с его	3	2
71	в них	2	2
72	это не	4	2
73	это в	2	2
74	в романе	6	2
75	пришел к	2	2
76	же время	5	2
77	тем более	2	2
78	еще не	2	2
79	к ним	2	2
80	том же	2	2
81	в его	3	2
82	в него	2	2
83	его с	2	2
84	отношение к	2	2
85	для нас	4	2
86	вместе с	2	2
87	так в	2	2
88	а с	2	2
89	не было	5	2
90	и у	3	2
91	но это	2	2
92	их в	2	2
93	и далее	2	2
94	в себе	2	2
95	ответ на	2	2
96	от сознания	2	2
