N	2gram	Tiupa_Hudo_1	Komedia
1	и в	19	22
2	в комедии	2	22
3	том что	8	12
4	в том	18	11
5	но и	10	11
6	не только	16	10
7	в то	6	10
8	как и	2	9
9	может быть	14	9
10	в одном	2	8
11	таким образом	3	8
12	и не	15	8
13	и его	12	8
14	о том	2	8
15	в этой	2	7
16	что в	6	6
17	в отношении	3	6
18	что он	3	6
19	к тому	4	6
20	ни в	5	6
21	такого рода	10	6
22	и по	2	6
23	то же	10	6
24	не в	7	6
25	а в	12	6
26	в которой	2	6
27	с другой	7	5
28	прежде всего	4	5
29	при этом	13	5
30	в его	9	5
31	один из	2	5
32	так и	11	5
33	как в	2	5
34	все это	2	5
35	другой стороны	5	5
36	нового времени	2	5
37	потому что	3	5
38	между тем	4	5
39	именно в	2	4
40	в их	5	4
41	в другом	3	4
42	в качестве	24	4
43	же время	5	4
44	а также	5	4
45	и особенно	2	4
46	в нем	5	4
47	что и	2	4
48	так в	4	4
49	точки зрения	10	4
50	но в	7	4
51	место в	4	3
52	не менее	3	3
53	однако в	4	3
54	и одновременно	5	3
55	в них	2	3
56	и как	3	3
57	по своему	2	3
58	перед лицом	3	3
59	одной стороны	2	3
60	одной из	2	3
61	в частности	13	3
62	и о	3	3
63	хотя и	3	3
64	он не	4	3
65	даже в	3	3
66	отношению к	9	3
67	в целом	3	3
68	отношение к	5	3
69	так же	2	3
70	по отношению	9	3
71	с одной	2	3
72	в году	2	3
73	как раз	3	3
74	и на	2	3
75	в этом	11	3
76	могут быть	4	3
77	и ее	3	3
78	только в	5	3
79	как правило	2	3
80	его в	2	3
81	в чем	2	3
82	как это	5	3
83	к которому	4	3
84	времени и	2	2
85	в противоположность	3	2
86	в рамках	8	2
87	за пределы	2	2
88	вовсе не	2	2
89	в свою	3	2
90	тем не	3	2
91	одна из	2	2
92	но не	11	2
93	того же	2	2
94	в себя	2	2
95	еще не	3	2
96	со своей	3	2
97	мог бы	3	2
98	в самом	5	2
99	для себя	2	2
100	и тем	2	2
101	с ее	5	2
102	то что	4	2
103	ее в	2	2
104	со стороны	2	2
105	или менее	5	2
106	который в	2	2
107	не может	7	2
108	принадлежит к	3	2
109	в форме	4	2
110	в принципе	5	2
111	и притом	3	2
112	к нему	3	2
113	право на	2	2
114	или в	2	2
115	не следует	4	2
116	но он	3	2
117	в себе	9	2
118	в финале	2	2
119	по своей	7	2
120	отличие от	7	2
121	в области	6	2
