N	3gram	Vinokur_Ku_2	slovoVRo
1	и т п	24	23
2	то же время	3	12
3	в то же	3	12
4	в узком смысле	2	10
5	с точки зрения	8	8
6	в каждый данный	2	5
7	и т д	14	5
8	во всяком случае	5	5
9	с другой стороны	7	4
10	большей или меньшей	3	4
11	каждый данный момент	2	4
12	хотя бы и	2	3
13	или меньшей степени	3	3
14	в зависимости от	4	3
15	в большей или	3	3
16	и в другом	2	2
17	в лучшем случае	3	2
18	в свою очередь	2	2
19	и в том	2	2
20	не только в	4	2
21	можно было бы	9	2
22	того или иного	2	2
23	в этом случае	2	2
24	может быть только	2	2
25	в широком смысле	2	2
