N	2gram	Berdyaev_M_2	formyVre
1	и в	46	46
2	в этом	20	22
3	прежде всего	12	14
4	и его	5	12
5	только в	3	11
6	не только	18	11
7	во всех	2	11
8	в том	3	10
9	как бы	8	10
10	точки зрения	2	10
11	но в	10	10
12	у него	22	9
13	не в	9	9
14	вместе с	2	9
15	но и	15	9
16	и не	18	9
17	и для	7	9
18	связи с	2	8
19	как и	13	8
20	в его	5	8
21	жизни и	6	8
22	то же	5	8
23	того чтобы	4	8
24	для того	5	8
25	потому что	12	8
26	в них	3	7
27	может быть	21	7
28	то что	5	7
29	так и	4	7
30	и на	3	7
31	никогда не	18	6
32	и во	3	6
33	и все	5	6
34	его в	3	6
35	те же	5	6
36	человека в	14	6
37	в основе	2	6
38	так как	8	6
39	и с	3	6
40	в своем	8	5
41	он не	10	5
42	в нем	22	5
43	что в	4	5
44	должно быть	2	5
45	место в	2	4
46	уже в	2	4
47	жизни в	3	4
48	человека и	7	4
49	в образе	3	4
50	с ним	3	4
51	том что	4	4
52	так что	2	4
53	что они	3	4
54	есть и	3	4
55	в мире	7	4
56	как в	7	4
57	отношения к	2	4
58	еще более	2	4
59	человеческой жизни	2	4
60	а не	13	4
61	и он	11	4
62	также и	4	4
63	к себе	2	4
64	в себе	10	4
65	о том	3	4
66	и самое	2	4
67	не было	11	3
68	мы еще	2	3
69	себя и	3	3
70	та же	10	3
71	что было	3	3
72	к тому	5	3
73	что он	7	3
74	как у	2	3
75	для него	18	3
76	тот же	2	3
77	хотя и	2	3
78	что и	4	3
79	ее в	2	3
80	еще вернемся	2	3
81	отношение к	8	3
82	уже не	4	3
83	того что	6	3
84	а в	2	3
85	жизнь и	4	3
86	тем что	3	3
87	в этих	2	3
88	на этом	2	2
89	не был	2	2
90	человек в	3	2
91	и есть	8	2
92	и та	2	2
93	и других	2	2
94	это не	5	2
95	они были	3	2
96	что все	5	2
97	в духе	5	2
98	ее и	2	2
99	по себе	2	2
100	или иной	2	2
101	одна и	3	2
102	но эта	2	2
103	в отношении	5	2
104	он был	9	2
105	не мог	3	2
106	у нас	11	2
107	мы видим	2	2
108	бога и	5	2
109	в этой	7	2
110	совсем не	5	2
111	все что	4	2
112	смысле слова	3	2
113	до конца	4	2
114	она не	8	2
115	и к	7	2
116	жизни а	2	2
117	в сущности	2	2
118	жизни она	2	2
119	и потому	7	2
120	один из	5	2
121	сих пор	3	2
122	принадлежит к	2	2
123	для чего	3	2
124	быть и	2	2
125	не может	15	2
126	на земле	8	2
127	у всех	2	2
128	чем не	2	2
129	не для	3	2
130	в царстве	4	2
131	и вот	5	2
132	лишь в	2	2
133	человек не	7	2
134	и всегда	3	2
135	так же	6	2
136	у них	4	2
137	но это	8	2
138	людей и	3	2
139	то в	2	2
140	он так	2	2
141	от этого	2	2
142	и от	3	2
143	но он	11	2
144	самим собою	2	2
145	не знает	9	2
146	него и	2	2
147	человеческой природы	7	2
148	в конце	5	2
149	как он	3	2
150	и это	5	2
151	и должно	3	2
152	до сих	3	2
