N	2gram	Berdyaev_V_1	Marksizm
1	и в	16	19
2	как бы	5	19
3	и не	20	19
4	в этом	4	15
5	лишь в	3	14
6	не только	2	13
7	в нем	4	11
8	не в	3	10
9	но и	5	10
10	том что	2	10
11	так и	4	10
12	для него	2	9
13	как и	4	9
14	а не	7	9
15	с его	3	8
16	только в	2	8
17	никогда не	3	7
18	в том	3	7
19	но в	3	7
20	прежде всего	2	7
21	одна из	2	7
22	и для	3	7
23	к тому	3	6
24	ни в	3	6
25	того чтобы	2	6
26	и все	4	6
27	между тем	2	6
28	во всех	3	6
29	хотя бы	3	6
30	в форме	2	5
31	в его	4	5
32	должна быть	3	4
33	тому что	3	4
34	это не	2	4
35	то что	9	4
36	того что	5	4
37	что он	4	4
38	конечно не	2	4
39	в этих	3	3
40	да и	2	3
41	в ней	4	3
42	в котором	4	3
43	значения и	2	3
44	его и	2	3
45	а в	2	3
46	все эти	3	3
47	не имеет	3	3
48	должно быть	3	3
49	не было	3	3
50	в истории	8	3
51	так как	9	3
52	еще не	8	3
53	не к	2	3
54	что и	3	3
55	не есть	6	3
56	не будет	2	3
57	в своей	3	3
58	и то	2	3
59	во всяком	2	3
60	могут быть	2	3
61	и это	2	3
62	что в	3	2
63	его к	2	2
64	что они	7	2
65	не так	2	2
66	жизни и	3	2
67	мы это	2	2
68	от этого	3	2
69	в жизни	3	2
70	не с	2	2
71	но не	2	2
72	и потому	7	2
73	нем нет	2	2
74	и тогда	2	2
75	а с	2	2
76	что не	4	2
77	мы не	2	2
78	тем что	2	2
79	является в	2	2
80	от него	2	2
