N	2gram	Medvedev_F_1	Sotsiolo
1	истории литературы	12	10
2	все это	9	7
3	в том	6	5
4	в этом	15	5
5	метод в	4	4
6	социологический метод	5	4
7	не в	8	3
8	но ведь	2	3
9	социологического метода	6	3
10	о литературе	6	3
11	в его	23	3
12	и в	24	3
13	не только	7	3
14	по отношению	4	2
15	историка литературы	4	2
16	еще не	6	2
17	было бы	6	2
18	только в	2	2
19	по существу	2	2
20	это и	3	2
21	таким образом	13	2
22	в литературоведении	3	2
23	то же	10	2
24	отношению к	4	2
25	то что	8	2
26	главным образом	4	2
27	может быть	14	2
28	за пределы	2	2
29	литературы и	2	2
30	в результате	2	2
31	в частности	4	2
32	метод и	3	2
33	и что	2	2
34	но и	7	2
35	и заключается	2	2
36	только как	2	2
37	к которому	2	2
38	как бы	6	2
39	должна быть	7	2
40	что в	4	2
