N	2gram	Propp_Isto_7	FransuaR
1	и в	24	56
2	таким образом	7	17
3	все эти	2	15
4	в этом	12	14
5	в том	7	13
6	так и	5	13
7	и его	3	12
8	в то	2	12
9	в этих	13	11
10	как бы	4	11
11	в них	3	11
12	то же	8	11
13	еще не	8	10
14	мы уже	4	10
15	только в	6	9
16	в самом	2	9
17	но и	11	9
18	и не	4	9
19	том что	10	8
20	не только	21	8
21	и др	2	8
22	в нем	6	8
23	во всех	7	8
24	сих пор	3	8
25	все это	8	8
26	и даже	3	8
27	до сих	2	8
28	у него	10	7
29	как мы	3	7
30	и на	2	7
31	прежде всего	2	6
32	вовсе не	4	6
33	в ее	2	6
34	мы видим	10	6
35	потому что	9	6
36	на его	2	6
37	точки зрения	4	6
38	связи с	3	6
39	и все	6	6
40	связаны с	2	6
41	но в	5	6
42	но не	6	5
43	с его	3	5
44	никогда не	4	5
45	ни с	2	5
46	как и	6	5
47	есть и	4	5
48	и другие	9	5
49	он не	6	5
50	один из	7	5
51	мы видели	7	5
52	своего рода	4	5
53	что в	13	5
54	во время	6	5
55	они не	2	5
56	что это	6	4
57	и ее	2	4
58	в качестве	3	4
59	например в	3	4
60	конечно не	2	4
61	с одной	5	4
62	при этом	4	4
63	в свете	3	4
64	в основе	2	4
65	во всем	2	4
66	о том	9	4
67	в особенности	2	4
68	так как	8	4
69	одна из	7	4
70	в которой	2	4
71	но по	2	4
72	перед нами	2	3
73	всех этих	6	3
74	в образе	3	3
75	в литературе	2	3
76	и здесь	12	3
77	так что	3	3
78	кроме того	3	3
79	может быть	14	3
80	и о	2	3
81	одной из	4	3
82	здесь нет	3	3
83	что и	8	3
84	то что	7	3
85	связь с	2	3
86	в форме	2	3
87	в их	4	3
88	в связи	2	3
89	не просто	2	3
90	там где	5	3
91	здесь мы	5	3
92	уже не	2	3
93	и наконец	3	3
94	не в	9	3
95	сказать что	2	3
96	но он	2	3
97	в таких	2	3
98	все его	2	3
99	видим что	3	2
100	характерно что	2	2
101	с другой	9	2
102	это не	10	2
103	уже в	3	2
104	в других	4	2
105	к этому	2	2
106	что он	21	2
107	так например	2	2
108	ни в	2	2
109	говорит о	2	2
110	но это	3	2
111	то время	2	2
112	одной стороны	5	2
113	было бы	2	2
114	в действительности	2	2
115	из них	2	2
116	себе и	3	2
117	а в	10	2
118	и эта	2	2
119	очень много	2	2
120	к ним	2	2
121	хотя и	3	2
122	в котором	2	2
123	и такие	2	2
124	еще один	2	2
125	все же	9	2
126	когда он	3	2
127	вместе с	7	2
128	дело не	5	2
129	был в	2	2
130	данном случае	3	2
131	что она	5	2
132	только на	2	2
133	другой стороны	8	2
134	так же	6	2
135	не может	14	2
136	того как	3	2
137	возможно что	3	2
138	а не	8	2
139	с собой	7	2
140	к нему	7	2
141	его в	3	2
142	мы не	4	2
143	от всех	2	2
144	в данном	4	2
145	с этой	6	2
146	он дает	3	2
147	что они	3	2
148	что эти	2	2
149	с ним	5	2
150	он говорит	2	2
