N	2gram	Propp_Morf_1	Literetu
1	и не	12	22
2	тогда как	2	17
3	и в	13	16
4	не только	4	14
5	но и	4	14
6	в этом	14	14
7	а не	11	12
8	то что	8	12
9	может быть	52	12
10	в том	6	12
11	в частности	2	11
12	не в	3	10
13	то же	7	9
14	так и	6	9
15	того что	3	9
16	в то	3	9
17	том что	4	8
18	не может	14	8
19	в этой	2	8
20	как бы	3	8
21	со стороны	3	7
22	точки зрения	2	7
23	только в	2	7
24	с его	2	6
25	состоит в	2	6
26	с другой	8	6
27	к тому	4	6
28	еще не	3	6
29	в другом	2	6
30	о том	2	6
31	в качестве	5	5
32	это не	6	5
33	что он	4	5
34	как и	3	5
35	в целом	3	5
36	как в	3	5
37	а в	7	5
38	но не	4	4
39	однако в	2	4
40	по существу	12	4
41	в начале	3	4
42	и для	2	4
43	хотя и	3	4
44	отношению к	4	4
45	из них	3	4
46	по отношению	4	4
47	входит в	2	4
48	а также	4	4
49	как будто	2	4
50	ни к	2	3
51	все еще	3	3
52	прежде всего	9	3
53	а затем	4	3
54	и как	5	3
55	то в	3	3
56	например в	2	3
57	и к	4	3
58	на его	4	3
59	вслед за	5	3
60	и тем	2	3
61	уже не	2	3
62	самом деле	4	3
63	с точки	2	3
64	тому как	5	3
65	потому что	3	3
66	в иных	4	3
67	там где	5	3
68	как это	3	3
69	но в	2	3
70	между тем	5	3
71	ни было	2	2
72	что в	8	2
73	не менее	5	2
74	если бы	2	2
75	то ни	3	2
76	оно не	2	2
77	к этому	3	2
78	не всегда	9	2
79	вопрос о	7	2
80	на то	2	2
81	и ее	3	2
82	а по	3	2
83	же в	2	2
84	у нас	2	2
85	связи с	10	2
86	а на	3	2
87	во втором	3	2
88	можно сказать	2	2
89	было бы	3	2
90	несмотря на	4	2
91	во всех	4	2
92	как таковое	2	2
93	себя и	2	2
94	один из	5	2
95	не с	2	2
96	то это	3	2
97	что и	7	2
98	все же	7	2
99	бы то	3	2
100	как мы	6	2
101	так же	3	2
102	как например	2	2
103	а и	3	2
104	и наоборот	4	2
105	того чтобы	3	2
106	для того	2	2
107	другой стороны	4	2
108	право на	2	2
109	тем что	4	2
110	подобно тому	6	2
111	далеко не	5	2
112	представляет собой	17	2
113	его в	2	2
114	в первом	3	2
115	здесь не	2	2
116	лишь на	2	2
117	если это	3	2
