N	3gram	Vygotskiy__7	Analitik
1	не может быть	4	16
2	в том что	13	9
3	в отличие от	2	6
4	по отношению к	5	5
5	в конечном счете	2	4
6	с точки зрения	21	4
7	но и не	3	4
8	из того что	2	3
9	состоит в том	3	3
10	с одной стороны	5	3
11	для того чтобы	18	3
12	о том что	4	3
13	мере в какой	2	2
14	в данном случае	5	2
15	в самом деле	4	2
16	именно в этом	2	2
17	в этом отношении	3	2
18	том что он	2	2
19	в той мере	2	2
20	в первом случае	3	2
21	того и другого	2	2
22	то же самое	5	2
23	той мере в	2	2
24	нет и не	2	2
25	в том и	3	2
