N	2gram	Savitsky_P_1	Sovremen
1	не может	4	17
2	точки зрения	3	12
3	может быть	5	12
4	мы не	3	9
5	в этом	10	7
6	и в	14	7
7	и не	12	6
8	прежде всего	3	5
9	с точки	3	5
10	как бы	4	4
11	это не	3	4
12	а в	4	4
13	не только	17	4
14	в том	9	4
15	из них	2	4
16	мы должны	4	4
17	отнюдь не	2	3
18	все это	2	3
19	то же	9	3
20	в нем	3	3
21	а не	2	3
22	и к	4	3
23	для нас	2	3
24	не в	5	3
25	одна из	2	3
26	было бы	6	3
27	и мы	2	3
28	в себе	3	3
29	в области	11	3
30	но в	9	3
31	и потому	4	3
32	не менее	2	2
33	и есть	2	2
34	в виде	2	2
35	не будем	2	2
36	с одной	3	2
37	еще более	2	2
38	и пр	5	2
39	к чему	2	2
40	могут быть	3	2
41	с этим	2	2
42	что в	4	2
43	говорить о	2	2
44	тот же	3	2
45	в его	2	2
46	в которую	2	2
