N	2gram	Tiupa_Lite_3	FransuaR
1	и в	16	41
2	то есть	5	20
3	в этом	14	15
4	как и	5	14
5	в этой	8	13
6	то же	9	13
7	в его	6	12
8	прежде всего	3	11
9	в том	12	11
10	как мы	2	11
11	в себе	6	11
12	так и	9	10
13	в то	9	10
14	в качестве	5	9
15	и его	6	9
16	не в	10	9
17	же время	7	9
18	но и	14	9
19	и т.п	6	9
20	что в	2	9
21	в конце	2	8
22	по существу	4	8
23	то что	12	8
24	но в	3	8
25	в романе	3	7
26	как бы	8	7
27	в нем	2	7
28	и не	22	7
29	все они	2	6
30	это не	5	6
31	для него	2	6
32	только в	7	6
33	о том	6	6
34	к этому	2	5
35	не только	14	5
36	и к	3	5
37	вместе с	5	5
38	что и	2	5
39	как в	5	5
40	в году	5	5
41	а в	5	5
42	и для	4	5
43	так же	2	5
44	точки зрения	7	5
45	потому что	3	5
46	место в	4	4
47	том числе	3	4
48	хотя и	4	4
49	том что	8	4
50	было бы	2	4
51	может быть	12	4
52	к жизни	2	4
53	и наконец	3	4
54	мира и	2	4
55	должно быть	4	4
56	и на	2	4
57	и с	2	4
58	одном из	2	4
59	мира в	3	4
60	я не	2	3
61	что у	2	3
62	того же	2	3
63	с образом	2	3
64	в одном	4	3
65	и потому	2	3
66	в мире	16	3
67	в своей	7	3
68	в свою	2	3
69	при этом	15	3
70	из них	4	3
71	несмотря на	2	3
72	например в	3	3
73	о нем	2	3
74	что он	5	3
75	с ее	3	3
76	жизни и	3	3
77	во всех	2	3
78	не может	8	3
79	тем самым	7	3
80	с точки	3	3
81	той же	3	3
82	с ними	2	3
83	тем что	2	3
84	как о	2	3
85	не знает	2	3
86	его в	2	3
87	с его	6	2
88	все время	3	2
89	ни было	2	2
90	именно в	5	2
91	а на	2	2
92	никогда не	4	2
93	числе и	2	2
94	в лице	2	2
95	здесь как	2	2
96	человека в	2	2
97	и ее	2	2
98	к тому	6	2
99	душа моя	3	2
100	отношению к	4	2
101	и как	3	2
102	до конца	4	2
103	отношение к	2	2
104	еще не	6	2
105	того что	9	2
106	со всеми	2	2
107	своего рода	10	2
108	одного из	2	2
109	а также	4	2
110	оно не	2	2
111	в самый	2	2
112	же в	2	2
113	во второй	2	2
114	в первой	2	2
115	время в	2	2
116	во всей	2	2
117	по отношению	4	2
118	этом отношении	5	2
119	и вот	2	2
120	а не	12	2
121	уже не	3	2
122	те кто	3	2
123	но без	2	2
124	в данном	4	2
125	в словах	3	2
126	далеко не	2	2
127	в каждой	2	2
128	в области	3	2
