N	2gram	Losev_Prob_2	Psycholo
1	в том	12	37
2	и в	35	32
3	и что	13	22
4	том что	19	21
5	то что	38	21
6	таким образом	4	21
7	потому что	13	21
8	то есть	39	21
9	что в	11	20
10	так же	5	18
11	может быть	18	18
12	что и	2	17
13	не может	13	17
14	точки зрения	2	17
15	что она	4	16
16	самом деле	4	16
17	того чтобы	2	14
18	что он	4	13
19	при этом	3	13
20	то же	5	13
21	для того	3	13
22	в этом	17	13
23	по себе	8	12
24	если мы	9	12
25	в самом	5	12
26	не только	24	12
27	заключается в	4	12
28	с и	2	12
29	так как	7	12
30	на то	6	11
31	с тем	3	11
32	было бы	8	11
33	в основе	3	11
34	при помощи	8	10
35	как и	5	10
36	и т	6	10
37	но и	16	10
38	и не	37	10
39	что все	6	9
40	что при	4	9
41	в своих	3	9
42	тем что	4	9
43	не менее	13	8
44	не в	2	8
45	той же	2	8
46	того что	12	8
47	к тому	3	7
48	ясно что	8	7
49	и как	4	7
50	а не	10	7
51	все эти	7	7
52	можно было	5	7
53	что для	3	7
54	сказать что	24	7
55	как будто	6	7
56	только в	14	7
57	что они	3	7
58	в этой	9	6
59	тот же	4	6
60	и мы	2	6
61	он не	2	6
62	как бы	4	6
63	же самое	6	6
64	что если	4	6
65	о том	18	6
66	если бы	4	6
67	отнюдь не	5	5
68	в ней	2	5
69	далеко не	4	5
70	до сих	4	5
71	сих пор	4	5
72	все это	4	5
73	как раз	8	5
74	на самом	4	5
75	только на	9	5
76	и даже	11	5
77	есть только	8	5
78	как на	2	5
79	и на	5	5
80	в то	6	5
81	и более	5	4
82	совершенно правильно	2	4
83	случае если	2	4
84	едва ли	9	4
85	утверждать что	2	4
86	есть не	6	4
87	что на	4	4
88	тем не	12	4
89	том случае	2	4
90	и сам	2	4
91	в действительности	2	4
92	несмотря на	3	4
93	и той	4	4
94	которые мы	3	4
95	из этого	2	4
96	никак не	11	4
97	совершенно не	2	4
98	и по	3	4
99	и тем	4	4
100	все же	8	4
101	при таком	2	4
102	данном случае	5	4
103	но только	4	4
104	а в	4	4
105	и все	5	4
106	одной и	2	4
107	не имеет	7	4
108	и для	6	4
109	в данном	10	4
110	в языке	15	4
111	тому что	3	4
112	и с	10	4
113	есть по	2	4
114	с этим	5	4
115	в целом	3	4
116	если же	3	4
117	и это	5	4
118	которые в	2	4
119	ничего не	10	4
120	и поэтому	2	4
121	в общем	4	3
122	по своему	5	3
123	не могут	4	3
124	в частности	5	3
125	для этого	3	3
126	или что	3	3
127	хотя бы	12	3
128	с другой	6	3
129	в конце	7	3
130	точно так	3	3
131	представление о	5	3
132	представить себе	4	3
133	указывает на	5	3
134	которые не	2	3
135	и к	3	3
136	а только	6	3
137	если оно	3	3
138	об этом	2	3
139	так что	11	3
140	это значит	4	3
141	нашего сознания	2	3
142	но как	6	3
143	что с	2	3
144	в нашей	3	3
145	только как	3	3
146	мы в	3	3
147	на это	2	3
148	конце концов	7	3
149	относится к	6	3
150	сами по	2	3
151	один из	3	3
152	то это	3	3
153	так и	7	3
154	во всех	2	3
155	и их	3	3
156	были бы	2	3
157	и ее	2	3
158	бы и	7	3
159	же мы	2	3
160	в их	3	3
161	в отношении	4	3
162	столько же	2	3
163	что же	9	3
164	это только	3	3
165	еще более	2	3
166	что не	5	3
167	тому как	3	3
168	само по	2	3
169	в каком	4	3
170	по самому	3	3
171	и то	10	3
172	мы должны	3	3
173	того или	7	3
174	тогда когда	3	3
175	но в	6	3
176	мы не	7	3
177	значит что	4	3
178	в виду	8	3
179	это было	2	3
180	мы можем	6	3
181	не существует	6	2
182	как только	3	2
183	из самых	2	2
184	и многие	2	2
185	и этот	3	2
186	казалось бы	7	2
187	но даже	3	2
188	этой теории	4	2
189	в них	2	2
190	все что	3	2
191	то ни	3	2
192	эта теория	4	2
193	и от	3	2
194	это то	5	2
195	с другими	5	2
196	только мы	2	2
197	это в	2	2
198	или иного	5	2
199	но эта	3	2
200	во всяком	13	2
201	сводится к	2	2
202	и здесь	4	2
203	ни в	6	2
204	и при	2	2
205	тем более	10	2
206	его от	2	2
207	еще не	10	2
208	но не	4	2
209	с этими	2	2
210	она не	3	2
211	и тот	3	2
212	сам собой	2	2
213	из которых	2	2
214	вовсе не	37	2
215	к нему	2	2
216	это совершенно	2	2
217	и следовательно	4	2
218	в его	7	2
219	что всякое	2	2
220	не вполне	4	2
221	в него	2	2
222	всяком случае	10	2
223	оно не	3	2
224	не так	2	2
225	в состоянии	2	2
226	имеет значение	2	2
227	бы то	2	2
228	в этих	4	2
229	для нас	9	2
230	на том	3	2
231	вместе с	2	2
232	значение в	4	2
233	отличается от	2	2
234	на него	2	2
235	значение и	8	2
236	себе и	2	2
237	есть нечто	7	2
238	и без	5	2
239	как нечто	2	2
240	бы не	3	2
241	другой стороны	5	2
242	т д	6	2
243	не было	3	2
244	содержания и	5	2
245	что оно	2	2
246	роль в	2	2
247	этой области	3	2
248	здесь мы	3	2
249	что без	2	2
250	то или	3	2
251	ли он	3	2
252	в таком	11	2
253	входящих в	2	2
254	каждый из	2	2
255	но это	6	2
256	также и	12	2
257	их в	4	2
258	ли это	2	2
259	подобно тому	2	2
260	имеем в	2	2
261	в себе	5	2
262	и вообще	16	2
263	и только	4	2
264	могли бы	3	2
265	значит ли	2	2
266	который он	2	2
267	состоит из	2	2
268	в свете	3	2
269	не значит	2	2
270	когда мы	6	2
271	то чтобы	2	2
272	и которые	2	2
