N	2gram	Medvedev_V_1	StatiiOP
1	и в	26	25
2	в этом	26	24
3	у пушкина	2	22
4	в том	15	20
5	что в	10	19
6	что он	4	19
7	может быть	22	19
8	том что	8	15
9	в этой	4	14
10	в его	14	12
11	то что	6	12
12	не только	25	12
13	прежде всего	13	10
14	пушкин в	2	10
15	таким образом	31	10
16	и не	19	10
17	у него	6	9
18	но и	10	9
19	и т	23	8
20	все это	10	8
21	как например	2	8
22	т е	18	8
23	в своих	2	8
24	о том	10	8
25	это не	7	7
26	было бы	7	7
27	с этим	3	7
28	не может	17	7
29	что такое	2	7
30	точки зрения	3	7
31	из его	3	7
32	в то	6	7
33	из этих	7	6
34	в конце	3	6
35	не в	6	6
36	только в	7	6
37	как бы	5	6
38	как на	3	6
39	а в	3	6
40	т п	9	6
41	в области	2	6
42	между тем	5	6
43	то же	10	5
44	в них	4	5
45	с другой	11	5
46	об этом	9	5
47	в котором	3	5
48	в году	6	5
49	а не	7	5
50	того что	3	5
51	другой стороны	8	5
52	говорил что	2	5
53	он не	2	5
54	отметить что	2	5
55	так и	5	5
56	мы имеем	3	5
57	но в	2	5
58	этом отношении	13	4
59	с тем	3	4
60	и др	9	4
61	связана с	2	4
62	по крайней	2	4
63	в жизни	2	4
64	в каждом	2	4
65	а как	2	4
66	крайней мере	2	4
67	у нас	2	4
68	как и	7	4
69	в качестве	11	4
70	можно сказать	4	4
71	в общем	2	4
72	если бы	3	4
73	например в	3	4
74	и к	3	4
75	он говорит	5	4
76	работал над	3	4
77	в ней	2	4
78	относится к	2	4
79	в своей	4	4
80	в целом	4	4
81	отличается от	2	4
82	в особенности	2	4
83	не было	7	4
84	в течение	2	4
85	лишь в	2	4
86	из которых	2	4
87	в чем	2	4
88	и для	2	4
89	сказать что	5	4
90	действующих лиц	5	4
91	все же	5	4
92	в которой	2	4
93	на вопрос	2	3
94	что все	3	3
95	с его	3	3
96	вот что	9	3
97	все они	2	3
98	тому что	6	3
99	во время	3	3
100	к этому	9	3
101	же время	5	3
102	всех этих	2	3
103	для него	8	3
104	одной стороны	2	3
105	между прочим	2	3
106	и наконец	2	3
107	на язык	2	3
108	конце концов	2	3
109	все эти	6	3
110	на эти	2	3
111	не является	5	3
112	подчеркнуть что	2	3
113	по этому	9	3
114	в их	5	3
115	писателя и	2	3
116	как раз	3	3
117	в связи	3	3
118	в системе	2	3
119	что мы	2	3
120	представляют собою	2	3
121	и его	6	3
122	что для	3	3
123	этого рода	2	3
124	говорить о	2	3
125	в другом	2	3
126	связи с	4	3
127	в творчестве	3	3
128	при помощи	3	2
129	говорит и	8	2
130	не менее	2	2
131	для его	4	2
132	никогда не	4	2
133	он может	2	2
134	и у	2	2
135	что у	2	2
136	как о	2	2
137	не столько	2	2
138	тогда когда	2	2
139	представляет собою	11	2
140	вовсе не	3	2
141	и ее	4	2
142	утверждать что	4	2
143	значит и	3	2
144	или иной	2	2
145	от них	2	2
146	к тому	4	2
147	что его	2	2
148	что они	3	2
149	но не	2	2
150	в последнем	2	2
151	черновой редакции	3	2
152	еще не	2	2
153	и может	2	2
154	в самом	4	2
155	во всех	6	2
156	при всей	2	2
157	одна из	4	2
158	в статье	4	2
159	том чтобы	2	2
160	в виду	4	2
161	если в	2	2
162	работой над	2	2
163	нет и	3	2
164	один из	5	2
165	должен быть	4	2
166	работы над	5	2
167	вместе с	7	2
168	ее в	4	2
169	в форме	3	2
170	до нас	2	2
171	только что	4	2
172	этому поводу	7	2
173	т д	14	2
174	начиная с	2	2
175	с одной	2	2
176	от того	2	2
177	этой области	3	2
178	заключается в	2	2
179	произведения и	7	2
180	для того	3	2
181	что не	3	2
182	и по	3	2
183	к этим	2	2
184	его не	3	2
185	на основе	5	2
186	или в	3	2
187	между собою	2	2
188	в которых	3	2
189	в результате	5	2
190	могут быть	5	2
191	к сожалению	2	2
192	это особенно	2	2
193	он и	2	2
194	но как	3	2
195	на это	2	2
196	которые в	2	2
197	так сказать	2	2
198	в плане	5	2
199	произведения как	5	2
