N	3gram	Vinokur_St_3	Problema
1	о том что	4	9
2	с точки зрения	4	8
3	в том что	11	8
4	в связи с	3	7
5	в конце концов	3	6
6	с другой стороны	4	5
7	тем не менее	2	5
8	по крайней мере	4	4
9	в то время	4	3
10	только тогда когда	2	3
11	в этом смысле	4	3
12	с одной стороны	2	3
13	а с другой	2	3
14	то время как	4	3
15	на то что	3	2
16	и не в	2	2
17	по этому поводу	2	2
18	потому что он	2	2
19	в этой трагедии	2	2
20	во всяком случае	4	2
21	но все же	2	2
22	не может быть	5	2
23	и в стихотворении	2	2
24	но и в	2	2
25	до сих пор	2	2
