N	2gram	Losev_Prob_1	Myslijsy
1	то есть	33	34
2	потому что	16	33
3	то что	42	29
4	может быть	14	26
5	таким образом	6	24
6	в том	9	23
7	и в	32	23
8	в этом	19	23
9	и не	31	18
10	что в	12	17
11	при этом	6	15
12	только в	7	15
13	для нас	5	14
14	как и	3	14
15	в себе	15	14
16	то же	10	14
17	того что	7	14
18	так как	11	14
19	если бы	4	13
20	том что	12	12
21	не было	4	12
22	а не	15	12
23	по себе	15	11
24	но и	9	11
25	не в	4	11
26	не может	8	11
27	и потому	2	10
28	что мы	13	10
29	не только	17	10
30	тем что	7	10
31	мы можем	4	10
32	не есть	29	9
33	между тем	2	9
34	в своем	5	8
35	было бы	8	8
36	другими словами	3	8
37	мы не	2	8
38	сказать что	13	8
39	о том	11	8
40	но в	14	8
41	с тем	5	7
42	что это	3	7
43	это не	6	7
44	на то	8	7
45	в нем	13	7
46	и что	9	7
47	вовсе не	35	7
48	и т	11	7
49	могут быть	2	7
50	как в	4	7
51	мы говорим	3	7
52	с этим	3	7
53	что такое	6	7
54	что если	2	6
55	для того	8	6
56	вместе с	2	6
57	того как	3	6
58	тем и	2	6
59	что не	3	6
60	когда мы	8	6
61	в которой	2	6
62	так и	12	6
63	уже в	3	5
64	по крайней	2	5
65	так что	6	5
66	есть только	8	5
67	не можем	2	5
68	для него	2	5
69	хотя и	6	5
70	в его	6	5
71	как бы	14	5
72	к нему	3	5
73	крайней мере	2	5
74	этом случае	2	5
75	что же	9	5
76	есть нечто	11	5
77	все это	7	5
78	не менее	19	5
79	должно быть	2	5
80	а в	4	5
81	с ним	3	5
82	во всяком	7	5
83	тем более	5	5
84	говорить о	6	5
85	и то	6	5
86	есть в	5	5
87	не имеет	2	5
88	не то	2	5
89	и все	7	4
90	что все	3	4
91	что он	7	4
92	есть не	6	4
93	тем не	18	4
94	как же	3	4
95	до сих	3	4
96	можно сказать	5	4
97	и может	2	4
98	по поводу	4	4
99	но есть	2	4
100	и о	8	4
101	в котором	5	4
102	сам по	7	4
103	и тем	13	4
104	сих пор	3	4
105	а именно	12	4
106	да и	3	4
107	только на	4	4
108	то и	6	4
109	в истории	4	4
110	только потому	3	4
111	тем самым	4	4
112	того чтобы	9	4
113	хотя бы	3	4
114	так же	9	4
115	с другими	2	4
116	в таком	9	4
117	между собою	7	4
118	точки зрения	3	4
119	в каком	3	4
120	в данном	9	4
121	в сознании	5	4
122	в то	6	4
123	же самое	9	4
124	его в	6	4
125	мы имеем	2	4
126	и с	2	4
127	при помощи	13	3
128	только не	3	3
129	и есть	6	3
130	никогда не	7	3
131	связи с	5	3
132	в этих	3	3
133	в них	7	3
134	нельзя сказать	2	3
135	говорим что	3	3
136	именно в	4	3
137	но это	8	3
138	не будет	2	3
139	кроме того	2	3
140	еще не	9	3
141	в действительности	3	3
142	и если	6	3
143	мы уже	5	3
144	к тому	3	3
145	например в	2	3
146	на его	2	3
147	в самом	6	3
148	между прочим	2	3
149	и следовательно	3	3
150	известной степени	2	3
151	мы в	3	3
152	в виду	6	3
153	всяком случае	3	3
154	и другим	2	3
155	но уже	5	3
156	поэтический образ	3	3
157	нет ничего	10	3
158	только что	2	3
159	вообще и	4	3
160	в нас	2	3
161	и только	4	3
162	т д	10	3
163	все эти	8	3
164	все равно	5	3
165	на самом	6	3
166	уже не	3	3
167	самом деле	6	3
168	в науке	2	3
169	и на	8	3
170	это есть	9	3
171	и до	2	3
172	в которых	3	3
173	то в	5	3
174	их в	4	3
175	и так	2	3
176	даже и	8	3
177	в искусстве	3	3
178	с точки	3	3
179	в первом	2	3
180	не существует	6	2
181	образ не	2	2
182	тому как	2	2
183	только для	3	2
184	не могут	2	2
185	иное как	2	2
186	что будет	2	2
187	и как	6	2
188	а может	2	2
189	тому что	4	2
190	сами по	3	2
191	самое нужно	2	2
192	с другой	3	2
193	оно не	3	2
194	то он	2	2
195	не как	2	2
196	из этих	2	2
197	точно так	4	2
198	то уже	3	2
199	и нельзя	2	2
200	что может	2	2
201	и здесь	6	2
202	человека а	2	2
203	в ее	3	2
204	в самой	3	2
205	у нас	14	2
206	чтобы понять	3	2
207	об этом	10	2
208	мы и	4	2
209	по своему	9	2
210	уже и	3	2
211	есть и	3	2
212	чем больше	4	2
213	но что	2	2
214	не нужно	3	2
215	не что	2	2
216	она не	2	2
217	в это	2	2
218	в сущности	2	2
219	обратить внимание	3	2
220	ни его	5	2
221	он не	3	2
222	не значит	2	2
223	этих случаях	3	2
224	так или	2	2
225	как оно	3	2
226	один из	4	2
227	и это	9	2
228	из наук	2	2
229	на том	4	2
230	данном случае	8	2
231	указывает на	14	2
232	что она	5	2
233	мы хотим	3	2
234	и вполне	3	2
235	мы видим	2	2
236	и для	4	2
237	если мы	11	2
238	же мы	2	2
239	хотя в	3	2
240	что его	3	2
241	как мы	7	2
242	и другое	2	2
243	именно на	3	2
244	на этот	3	2
245	и даже	11	2
246	и притом	4	2
247	что значит	3	2
248	и его	3	2
249	в других	5	2
250	во многих	2	2
251	можно было	3	2
252	или иначе	2	2
253	в ряд	2	2
254	нас в	2	2
255	может иметь	2	2
256	в виде	15	2
257	подобно тому	2	2
258	собою и	2	2
259	и при	2	2
260	к его	2	2
261	что иное	2	2
262	и вообще	4	2
263	мы должны	5	2
264	в таких	2	2
265	таком случае	6	2
266	иметь в	4	2
267	без которого	3	2
268	быть и	3	2
269	который бы	2	2
270	в области	2	2
271	которые не	3	2
272	это было	2	2
273	и сама	2	2
