N	2gram	Voloshinov_1	Analitik
1	в качестве	2	31
2	может быть	13	29
3	в том	4	27
4	не может	13	22
5	и не	16	21
6	и в	15	18
7	а не	2	17
8	но и	4	17
9	отнюдь не	2	15
10	не только	5	15
11	не в	4	14
12	как и	6	13
13	в его	9	13
14	в этом	13	13
15	том что	5	12
16	при этом	7	12
17	в себе	4	11
18	но не	5	10
19	то же	7	9
20	а в	6	9
21	в то	6	9
22	нуждается в	2	8
23	но в	9	8
24	к тому	4	7
25	это не	2	6
26	прежде всего	11	6
27	же время	5	6
28	в самом	6	6
29	себя в	2	6
30	далеко не	4	6
31	должен быть	2	6
32	то что	10	6
33	в своей	9	6
34	в себя	5	6
35	по отношению	11	6
36	в основе	3	6
37	точки зрения	13	6
38	только в	6	6
39	я и	6	6
40	в этой	5	5
41	что в	6	5
42	как бы	11	5
43	внутренней речи	3	5
44	отношению к	9	5
45	в целом	2	5
46	и т.п	2	5
47	сводится к	3	5
48	и его	15	5
49	между тем	2	5
50	и на	3	5
51	того что	2	4
52	могут быть	6	4
53	себя и	3	4
54	не всегда	4	4
55	по себе	2	4
56	ни в	6	4
57	в области	3	4
58	все же	5	4
59	вместе с	4	4
60	так и	10	4
61	именно в	3	4
62	из того	2	4
63	уже не	5	4
64	с точки	10	4
65	с другими	5	4
66	не следует	2	4
67	с ним	12	4
68	человека к	2	4
69	не могут	3	3
70	с его	8	3
71	и есть	2	3
72	в нашем	3	3
73	хотя бы	7	3
74	и все	4	3
75	в собственном	2	3
76	в нем	4	3
77	и к	7	3
78	что он	8	3
79	во внешнем	8	3
80	еще не	7	3
81	к объекту	2	3
82	одним из	3	3
83	он не	4	3
84	что и	2	3
85	таким образом	21	3
86	того чтобы	2	3
87	к нему	7	3
88	в таком	3	3
89	более того	2	3
90	что мы	2	3
91	будто бы	2	3
92	подхода к	2	3
93	оно может	3	3
94	если бы	3	3
95	таком случае	2	3
96	и то	2	2
97	в психике	3	2
98	на все	2	2
99	никогда не	7	2
100	все эти	9	2
101	реальности и	2	2
102	его и	2	2
103	между собой	4	2
104	для этого	4	2
105	не является	3	2
106	из этих	4	2
107	вовсе не	2	2
108	на место	3	2
109	можно сказать	4	2
110	в искусстве	3	2
111	и потому	8	2
112	должно быть	2	2
113	это как	3	2
114	художественное творчество	2	2
115	отношение к	7	2
116	для него	5	2
117	читателя в	3	2
118	было бы	6	2
119	душевной жизни	6	2
120	за пределы	2	2
121	и о	3	2
122	один из	4	2
123	в процессе	4	2
124	и до	3	2
125	данном случае	3	2
126	не остается	3	2
127	со стороны	2	2
128	что же	4	2
129	на этом	5	2
130	отношения к	2	2
131	той же	2	2
132	этом отношении	2	2
133	на самом	2	2
134	самом деле	7	2
135	и по	5	2
136	роль в	6	2
137	как мы	10	2
138	на себя	2	2
139	является по	2	2
140	в данном	3	2
141	жизни но	2	2
142	в первом	2	2
143	внешнем мире	3	2
144	так как	9	2
145	думать что	2	2
146	потому что	4	2
147	в сознании	3	2
148	и с	7	2
