N	2gram	Ircho_Kome_3	Narrotol
1	не только	5	32
2	может быть	6	25
3	но и	4	23
4	в качестве	2	21
5	и не	21	20
6	и в	22	19
7	в том	12	18
8	в этом	8	17
9	в частности	3	14
10	том что	13	14
11	не в	4	14
12	состоит в	2	13
13	а не	4	12
14	представляет собой	3	12
15	то что	4	11
16	а в	7	11
17	не может	3	10
18	точки зрения	4	10
19	при этом	7	9
20	со стороны	11	9
21	так и	4	9
22	в его	8	9
23	в мире	2	9
24	с другой	4	8
25	не является	4	8
26	в себе	4	8
27	как и	3	7
28	еще не	6	7
29	к тому	6	7
30	а также	2	7
31	все же	4	7
32	как в	2	7
33	по отношению	5	7
34	с одной	3	7
35	одной стороны	3	7
36	с его	3	6
37	что он	8	6
38	отношению к	3	6
39	как это	5	6
40	о том	8	6
41	но в	5	6
42	отнюдь не	4	5
43	нуждается в	2	5
44	тому же	6	5
45	к нему	5	5
46	и его	6	5
47	в основе	2	5
48	к себе	5	5
49	отличие от	2	5
50	в этой	3	5
51	далеко не	3	5
52	прежде всего	5	4
53	одного из	3	4
54	в нем	3	4
55	у него	4	4
56	что не	3	4
57	то же	7	4
58	но все	4	4
59	в силу	2	4
60	если не	3	4
61	при всей	2	4
62	же время	5	4
63	было бы	3	4
64	связи с	5	4
65	одной из	3	4
66	как бы	3	4
67	речь идет	5	4
68	хотя бы	4	4
69	другой стороны	2	4
70	из которых	2	4
71	не мог	2	4
72	здесь не	2	4
73	и с	4	4
74	не менее	5	3
75	ни было	2	3
76	что в	5	3
77	никогда не	3	3
78	уже в	2	3
79	в свою	7	3
80	тем не	3	3
81	ни в	10	3
82	в присутствии	2	3
83	что они	2	3
84	свою очередь	6	3
85	в сущности	2	3
86	хотя и	5	3
87	в ней	4	3
88	он не	5	3
89	и даже	3	3
90	один из	3	3
91	не с	2	3
92	не будет	2	3
93	бы то	2	3
94	из них	5	3
95	когда он	4	3
96	в ее	3	3
97	на него	4	3
98	даже не	3	3
99	то ни	3	3
100	этом отношении	2	3
101	который по	2	3
102	как мы	2	3
103	столь же	3	3
104	и он	2	3
105	или иначе	2	3
106	и на	2	3
107	между тем	2	3
108	тем что	5	3
109	не о	3	3
110	на себя	4	3
111	в конечном	2	3
112	в то	6	3
113	каким он	2	2
114	дело с	3	2
115	бы не	2	2
116	себя и	2	2
117	конечном счете	2	2
118	между собой	4	2
119	в своем	8	2
120	в какой	3	2
121	здесь и	2	2
122	не как	2	2
123	идет о	3	2
124	а по	5	2
125	по существу	2	2
126	между ними	2	2
127	и после	2	2
128	и тот	3	2
129	в пределах	2	2
130	она не	2	2
131	несмотря на	4	2
132	наряду с	2	2
133	вплоть до	2	2
134	так или	2	2
135	нет и	4	2
136	не имеет	3	2
137	приводит к	3	2
138	который в	3	2
139	отношение к	5	2
140	так же	4	2
141	как раз	6	2
142	в связи	4	2
143	отношения к	2	2
144	не было	2	2
145	в двух	3	2
146	человека в	2	2
147	совершенно не	2	2
148	самом деле	6	2
149	что мы	2	2
150	одним из	2	2
151	и для	4	2
152	с точки	3	2
153	при всем	2	2
154	это не	2	2
155	роль в	2	2
156	в таком	2	2
157	можно было	2	2
158	в результате	2	2
159	тем более	4	2
160	нового времени	2	2
161	однако в	4	2
162	что касается	2	2
163	и ее	2	2
164	говорить о	3	2
165	исходя из	2	2
166	и все	2	2
167	его в	8	2
168	представляют собой	2	2
169	всего лишь	2	2
170	ничего не	3	2
171	о чем	7	2
