N	2gram	Medvedev_U_1	Problemy
1	и не	8	31
2	и в	14	29
3	в его	2	24
4	может быть	6	24
5	а не	10	22
6	в этом	7	22
7	для него	3	18
8	не только	10	15
9	то что	7	15
10	не как	3	14
11	но и	4	14
12	то же	5	14
13	как и	3	12
14	не может	7	12
15	таким образом	2	12
16	этом смысле	2	10
17	в самом	2	10
18	в то	3	10
19	только в	2	10
20	с его	2	9
21	это не	3	9
22	все же	3	9
23	но не	2	9
24	же время	3	9
25	если бы	2	9
26	по себе	2	8
27	что он	2	8
28	в своей	3	8
29	в том	2	8
30	прежде всего	8	7
31	а как	2	7
32	том что	2	7
33	не в	2	7
34	в себе	2	7
35	но в	3	7
36	все это	5	6
37	в конце	2	6
38	не могут	2	6
39	одним из	2	6
40	что она	2	6
41	как раз	2	6
42	самом деле	2	6
43	могут быть	2	6
44	должна быть	2	5
45	было бы	3	5
46	конце концов	2	5
47	между тем	2	5
48	ничего не	2	5
49	перестает быть	5	4
50	превращается в	2	4
51	бы и	2	4
52	что и	2	4
53	должна была	2	4
54	но это	2	4
55	и с	2	4
56	и для	2	4
57	тем что	2	4
58	в этой	4	4
59	художественного задания	2	3
60	с другой	4	3
61	по существу	2	3
62	художественного творчества	5	3
63	в их	4	3
64	другой стороны	3	3
65	этом отношении	2	3
66	и у	2	3
67	в художественном	5	3
68	всех этих	2	2
69	представляется нам	2	2
70	его и	2	2
71	то ни	3	2
72	хотя бы	5	2
73	не есть	2	2
74	бы то	3	2
75	а его	2	2
76	конечно не	4	2
77	не о	3	2
78	как таковой	2	2
79	до сих	2	2
80	сих пор	2	2
81	ни было	3	2
82	могли бы	2	2
83	в россии	4	2
84	же не	2	2
