N	3gram	Vinokur_Ku_1	Hudozhes
1	о том что	5	9
2	то же время	2	8
3	в то же	2	8
4	по отношению к	8	8
5	и т п	18	8
6	в том что	15	6
7	к тому что	2	4
8	в самом деле	7	4
9	можно было бы	3	4
10	тем не менее	4	3
11	и в самом	2	3
12	в этом отношении	5	3
13	в связи с	3	3
14	с точки зрения	9	3
15	и т д	14	3
16	в первую очередь	2	2
17	только потому что	6	2
18	так или иначе	2	2
19	только в том	3	2
20	о том как	3	2
21	до сих пор	4	2
22	на то что	2	2
23	что же касается	4	2
24	не может быть	3	2
25	не в том	4	2
26	речь идет о	2	2
27	того или иного	3	2
