N	2gram	Bakhtin_sl_2	Formalny
1	и в	39	38
2	в этом	16	27
3	может быть	37	23
4	и его	33	21
5	таким образом	8	20
6	и не	22	20
7	прежде всего	8	15
8	не в	9	15
9	и т	35	14
10	не может	20	14
11	в нем	19	13
12	но и	21	13
13	связи с	3	13
14	языка и	9	12
15	в пределах	13	12
16	в поэзии	2	12
17	с его	7	11
18	языка как	7	11
19	в том	5	11
20	вовсе не	10	11
21	в его	7	10
22	в связи	2	10
23	с помощью	4	10
24	с другими	4	10
25	и с	9	9
26	как и	6	9
27	при этом	7	9
28	в процессе	13	9
29	не только	24	9
30	на почве	4	9
31	т п	33	9
32	языка в	6	9
33	язык как	3	8
34	что и	3	8
35	все же	6	8
36	так и	15	8
37	точки зрения	8	8
38	что в	3	7
39	не могут	5	7
40	по себе	5	7
41	для него	7	7
42	слова и	8	7
43	язык и	7	7
44	этом отношении	3	7
45	как мы	7	7
46	лишь в	3	7
47	уже не	5	7
48	с точки	3	7
49	не было	2	6
50	истории литературы	3	6
51	в результате	2	6
52	то что	2	6
53	в истории	11	6
54	в ней	3	6
55	литературный язык	3	6
56	вместе с	2	6
57	в их	2	6
58	то же	4	6
59	все эти	6	6
60	а не	14	6
61	в языке	2	6
62	могут быть	7	6
63	он не	2	6
64	только в	5	6
65	а в	4	6
66	хотя бы	3	6
67	должна быть	3	5
68	что он	2	5
69	именно в	2	5
70	это и	2	5
71	же время	4	5
72	в слове	6	5
73	во всех	12	5
74	и речи	2	5
75	с этим	2	5
76	т д	2	5
77	и для	5	5
78	еще более	2	5
79	более того	2	5
80	в основе	4	5
81	говорить о	3	5
82	в то	4	5
83	во всяком	3	5
84	всяком случае	2	5
85	языка а	5	5
86	независимо от	2	4
87	материала и	3	4
88	как о	2	4
89	оно не	8	4
90	не столько	3	4
91	на фоне	4	4
92	мы видели	2	4
93	в дальнейшем	2	4
94	его от	3	4
95	в большинстве	6	4
96	в сущности	6	4
97	дело идет	2	4
98	известной степени	2	4
99	как бы	7	4
100	и к	6	4
101	в некоторых	3	4
102	как в	13	4
103	входит в	4	4
104	в особенности	3	4
105	языке как	3	4
106	что оно	4	4
107	и наконец	5	4
108	и даже	7	4
109	даже и	4	4
110	именно как	2	4
111	одним словом	2	4
112	там где	6	4
113	здесь не	4	4
114	они не	2	4
115	так как	4	4
116	но в	6	4
117	а лишь	2	3
118	всех этих	4	3
119	и др	4	3
120	с другой	5	3
121	идеологической значимости	2	3
122	и здесь	2	3
123	не приходится	3	3
124	и как	3	3
125	но все	5	3
126	зависимости от	4	3
127	например в	5	3
128	значительной степени	6	3
129	в зависимости	4	3
130	литературного языка	12	3
131	жизни и	6	3
132	и их	5	3
133	быть и	3	3
134	все это	16	3
135	так в	2	3
136	только и	2	3
137	большинстве случаев	5	3
138	к нему	3	3
139	именно на	2	3
140	в значительной	6	3
141	того чтобы	2	3
142	для того	2	3
143	менее всего	2	3
144	особенно в	2	3
145	роль в	2	3
146	мы не	2	3
147	или в	2	3
148	и на	4	3
149	речи и	3	3
150	хотя и	2	3
151	материал и	3	3
152	поэтического слова	4	3
153	как к	3	3
154	слова в	13	3
155	и все	5	3
156	его в	4	3
157	так сказать	6	3
158	в области	2	3
159	смысла и	3	2
160	борьбы с	3	2
161	со всею	3	2
162	языка если	2	2
163	уже в	2	2
164	и более	2	2
165	и другие	2	2
166	никогда не	7	2
167	в этих	7	2
168	для этого	4	2
169	перед нами	3	2
170	или даже	3	2
171	это не	5	2
172	другой язык	2	2
173	установкой на	3	2
174	язык в	6	2
175	слово как	7	2
176	на котором	2	2
177	его как	2	2
178	до конца	17	2
179	том что	5	2
180	но это	3	2
181	от него	5	2
182	но не	6	2
183	на нем	2	2
184	но как	2	2
185	кроме того	2	2
186	она не	6	2
187	языка то	3	2
188	борьба с	4	2
189	от характера	2	2
190	же и	2	2
191	лишь о	2	2
192	языком и	7	2
193	слова как	2	2
194	даже в	2	2
195	один из	5	2
196	отношение к	4	2
197	игры с	2	2
198	ни в	4	2
199	а именно	2	2
200	его не	4	2
201	слово и	5	2
202	смысл и	2	2
203	на этом	3	2
204	как предмет	4	2
205	и других	4	2
206	в той	4	2
207	можно говорить	2	2
208	и иных	4	2
209	не была	3	2
210	отличие от	13	2
211	в таком	4	2
212	с ними	5	2
213	языка но	4	2
214	языка не	4	2
215	сказать что	3	2
216	между тем	3	2
217	и от	3	2
218	как особый	2	2
219	в отличие	12	2
220	как например	2	2
221	к его	2	2
222	в рамки	2	2
223	установка на	2	2
224	в чем	3	2
225	как это	3	2
226	с ним	7	2
227	отметить что	3	2
228	в плане	5	2
229	слово в	11	2
230	из него	2	2
