N	2gram	Voloshinov_1	VLabPisa
1	таким образом	7	27
2	в этом	10	26
3	и в	38	25
4	не только	27	22
5	может быть	13	21
6	хотя бы	18	20
7	и не	14	19
8	художественного творчества	5	18
9	не может	12	17
10	в его	6	15
11	в процессе	6	14
12	прежде всего	21	13
13	в том	2	13
14	этом отношении	2	13
15	в частности	3	12
16	все это	4	12
17	как это	5	12
18	из них	3	11
19	в качестве	4	10
20	о том	4	10
21	к этому	2	9
22	об этом	3	9
23	для него	3	9
24	но и	13	9
25	то же	14	9
26	все эти	2	8
27	ни один	2	8
28	как и	10	7
29	том что	3	7
30	было бы	7	7
31	во всех	6	7
32	вместе с	5	7
33	не было	2	7
34	а не	6	7
35	это не	3	6
36	в себе	9	6
37	то что	8	6
38	художественное творчество	3	6
39	главным образом	3	6
40	в нем	4	6
41	в зависимости	5	6
42	так и	6	6
43	бы и	2	6
44	и его	7	6
45	их в	3	6
46	между тем	3	6
47	в то	9	6
48	тому что	5	5
49	же время	7	5
50	все же	7	5
51	и при	2	5
52	зависимости от	5	5
53	очевидно что	2	5
54	связи с	3	5
55	как бы	28	5
56	один из	4	5
57	сказать что	3	5
58	только в	6	5
59	не в	6	5
60	не является	5	5
61	к тому	4	4
62	никогда не	7	4
63	перед нами	3	4
64	равно как	2	4
65	в одном	3	4
66	в целом	4	4
67	что он	2	4
68	с его	7	4
69	можно сказать	4	4
70	в ее	3	4
71	в своей	2	4
72	в самом	4	4
73	должен быть	2	4
74	в связи	2	4
75	в этой	6	4
76	и к	4	3
77	с тем	8	3
78	и как	9	3
79	даже и	2	3
80	и от	7	3
81	в конце	6	3
82	деятельности человека	2	3
83	действительной жизни	2	3
84	у нас	4	3
85	мы видели	5	3
86	видели что	3	3
87	но как	2	3
88	или в	2	3
89	с этим	2	3
90	и он	2	3
91	в виду	3	3
92	в котором	3	3
93	нет и	3	3
94	его в	4	3
95	что и	3	3
96	жизни и	3	3
97	и их	5	3
98	этот вопрос	2	3
99	в значительной	2	3
100	того что	4	3
101	при всем	2	3
102	так же	4	3
103	его не	2	3
104	в слове	3	3
105	в которых	2	3
106	точки зрения	10	3
107	бы в	5	3
108	зависит от	2	2
109	в реальной	2	2
110	в точном	2	2
111	это высказывание	3	2
112	но даже	2	2
113	не всегда	2	2
114	в жизни	2	2
115	вовсе не	2	2
116	роль в	3	2
117	было в	4	2
118	или иной	4	2
119	ли не	2	2
120	и потому	2	2
121	но не	2	2
122	чуть ли	2	2
123	но для	3	2
124	всех его	2	2
125	еще не	3	2
126	же самое	5	2
127	для того	9	2
128	о своем	3	2
129	одной из	2	2
130	если бы	4	2
131	мы имеем	2	2
132	точном смысле	2	2
133	в ней	8	2
134	оно является	2	2
135	конце концов	3	2
136	относится к	2	2
137	и даже	3	2
138	на эти	2	2
139	отнюдь не	10	2
140	так называемые	4	2
141	слова не	2	2
142	сих пор	2	2
143	этот процесс	2	2
144	от того	3	2
145	бы не	2	2
146	а в	5	2
147	еще и	2	2
148	что оно	3	2
149	человека в	2	2
150	того чтобы	7	2
151	из которых	3	2
152	что такое	4	2
153	между ними	3	2
154	и для	3	2
155	с чрезвычайной	2	2
156	эти вопросы	2	2
157	у них	2	2
158	можно было	4	2
159	с другими	2	2
160	в своих	2	2
161	также и	2	2
162	хотя и	3	2
163	лишь в	4	2
164	он не	2	2
165	как например	2	2
166	что мы	11	2
167	того или	5	2
168	на это	4	2
169	которые в	2	2
170	в которой	7	2
171	в области	5	2
172	в сознании	3	2
173	но в	5	2
