N	2gram	Bakhtin_fo_2	Formalny
1	и не	9	30
2	вовсе не	13	28
3	и в	46	27
4	может быть	7	25
5	не может	2	24
6	так и	7	21
7	и его	12	19
8	таким образом	3	18
9	в этом	22	18
10	а не	4	17
11	точки зрения	10	16
12	и пр	2	15
13	в нем	5	15
14	то же	8	15
15	между ними	2	15
16	как и	8	14
17	с точки	8	14
18	не в	9	12
19	и от	2	11
20	и т	14	11
21	место в	4	10
22	но и	9	10
23	лишь в	2	9
24	так как	6	9
25	как его	2	9
26	не только	11	9
27	так же	2	9
28	что в	5	8
29	при этом	6	8
30	в пределах	5	8
31	как бы	10	8
32	с помощью	3	8
33	отнюдь не	4	8
34	и все	6	8
35	то что	7	8
36	как мы	6	8
37	только в	11	8
38	в том	10	7
39	же время	4	7
40	все это	6	7
41	потому что	8	7
42	в то	5	7
43	его в	6	7
44	с тем	2	7
45	в его	8	7
46	тем же	2	7
47	там где	2	7
48	с другой	2	6
49	т д	3	6
50	все эти	5	6
51	но в	10	6
52	в литературе	2	6
53	что он	3	6
54	еще не	6	6
55	было бы	2	6
56	все же	6	6
57	и для	9	6
58	в данном	2	6
59	во всяком	2	6
60	вместе с	9	6
61	никогда не	6	5
62	в дальнейшем	5	5
63	что они	4	5
64	совсем не	2	5
65	в плоскости	2	5
66	того чтобы	8	5
67	в реальном	3	5
68	не является	3	5
69	и их	4	5
70	в одной	2	5
71	в литературу	2	5
72	в истории	4	5
73	большинстве случаев	3	5
74	но не	5	5
75	и потому	2	5
76	т п	11	5
77	тем что	3	5
78	связи с	8	5
79	так сказать	7	5
80	смысла и	2	4
81	уже в	4	4
82	в роман	2	4
83	прежде всего	14	4
84	в смысле	5	4
85	к тому	3	4
86	он был	2	4
87	следовательно и	3	4
88	и как	3	4
89	в большинстве	3	4
90	до конца	2	4
91	для того	8	4
92	мы видели	2	4
93	жизни и	8	4
94	в связи	8	4
95	о том	4	4
96	как это	2	4
97	по себе	2	4
98	в романе	13	4
99	том что	4	4
100	она не	2	4
101	в корне	2	4
102	конечно не	4	4
103	как в	4	4
104	роль в	3	4
105	могут быть	2	4
106	видения и	2	4
107	слова и	3	4
108	в этих	3	3
109	это не	2	3
110	в конце	2	3
111	те же	6	3
112	можно сказать	2	3
113	того что	3	3
114	имеет место	3	3
115	дело идет	2	3
116	в виду	3	3
117	в эпоху	4	3
118	этом отношении	2	3
119	в которых	3	3
120	и на	7	3
121	их в	4	3
122	и с	6	3
123	в основе	6	3
124	романа в	2	3
125	и более	2	3
126	жизни в	4	3
127	в них	7	3
128	у нас	2	3
129	того же	3	3
130	равно как	2	3
131	же самое	3	3
132	мы уже	9	3
133	во всех	11	3
134	нет и	3	3
135	ее в	3	3
136	в той	2	3
137	уже не	3	3
138	не на	3	3
139	жизнь и	3	3
140	в себе	4	3
141	в поэзии	2	3
142	а на	2	2
143	мы еще	3	2
144	друг другу	2	2
145	в отношении	2	2
146	характерно что	2	2
147	человека и	4	2
148	ее и	2	2
149	или иной	2	2
150	всех этих	7	2
151	но это	2	2
152	в этой	2	2
153	на этом	2	2
154	в последнем	2	2
155	смысле слова	2	2
156	ни для	2	2
157	в котором	4	2
158	и др	5	2
159	только один	2	2
160	из них	8	2
161	для чего	2	2
162	за счет	3	2
163	в своем	5	2
164	и только	2	2
165	отношения к	4	2
166	но эта	2	2
167	в самой	2	2
168	у них	2	2
169	и даже	3	2
170	новых форм	2	2
171	этого романа	2	2
172	из этих	4	2
173	как он	2	2
174	последнем счете	2	2
175	том как	3	2
176	перестает быть	2	2
177	и во	6	2
178	к этому	3	2
179	все стороны	2	2
180	говорить о	2	2
181	то в	2	2
182	в сущности	2	2
183	очень важная	2	2
184	в основном	8	2
185	сами по	2	2
186	что и	3	2
187	жизни с	2	2
188	и самый	2	2
189	на земле	2	2
190	человека в	6	2
191	форма в	2	2
192	это значит	3	2
193	от этого	2	2
194	на протяжении	3	2
195	ту же	2	2
196	и это	2	2
197	здесь не	2	2
