N	3gram	Voloshinov_1	Freidism
1	с точки зрения	5	11
2	не может быть	2	7
3	то же время	7	4
4	в то же	9	4
5	можно сказать что	2	4
6	как мы видели	3	4
7	в зависимости от	5	4
8	как мы уже	2	4
9	на самом деле	3	4
10	с самого начала	4	3
11	в свою очередь	4	3
12	и той же	2	3
13	одной и той	2	3
14	для того чтобы	7	3
15	то или иное	4	2
16	то же самое	4	2
17	внутренней и внешней	3	2
18	зависимости от того	2	2
19	мы видели что	2	2
20	в конце концов	3	2
21	в этом отношении	2	2
22	но в то	2	2
23	во всех своих	3	2
24	все то что	2	2
