N	2gram	Bakhtin_Fr_7	Tragedij
1	и в	41	18
2	в романе	7	10
3	в году	5	9
4	в этом	15	9
5	не только	5	8
6	и не	7	7
7	и на	4	7
8	и с	4	7
9	может быть	4	7
10	как бы	7	7
11	в образе	4	6
12	что он	3	6
13	и его	9	6
14	же время	9	6
15	у него	6	6
16	но в	8	6
17	к жизни	4	5
18	что это	4	5
19	так и	10	5
20	это не	6	5
21	не может	3	5
22	то же	13	5
23	как и	14	5
24	в то	10	5
25	несмотря на	3	5
26	но и	9	4
27	то что	8	4
28	что в	9	4
29	все это	10	4
30	я не	3	4
31	прежде всего	11	4
32	и все	14	4
33	в нем	7	4
34	так же	5	4
35	том что	4	4
36	но это	3	4
37	в этой	13	4
38	в себе	11	4
39	еще не	2	4
40	этот образ	2	4
41	уже в	5	3
42	с ее	3	3
43	в своем	9	3
44	никто не	10	3
45	в конце	8	3
46	как в	5	3
47	все эти	13	3
48	тем самым	3	3
49	жизнь и	2	3
50	и как	2	3
51	к нему	5	3
52	эпизод с	11	3
53	должно быть	4	3
54	в его	12	3
55	для него	6	3
56	при этом	3	3
57	своего рода	2	3
58	в мире	3	3
59	с ним	2	3
60	то есть	20	3
61	из самых	3	2
62	не имеет	3	2
63	перед нами	2	2
64	и до	6	2
65	что и	5	2
66	в силах	2	2
67	что все	2	2
68	не просто	2	2
69	уже не	2	2
70	с его	2	2
71	но особенно	2	2
72	отношение к	2	2
73	говорит что	2	2
74	к тому	2	2
75	и здесь	4	2
76	ни в	6	2
77	он был	3	2
78	в том	11	2
79	до конца	2	2
80	но все	4	2
81	не в	9	2
82	в данном	2	2
83	и то	2	2
84	одна из	4	2
85	потому что	5	2
86	ничем не	3	2
87	тем что	3	2
88	и ее	2	2
89	в это	3	2
90	о том	6	2
91	его в	3	2
92	и это	5	2
93	не мог	2	2
94	ничего не	4	2
95	он не	4	2
96	в одном	3	2
97	никогда не	2	2
98	одном из	4	2
