N	2gram	Losev_Prob_5	Tragedij
1	и в	30	18
2	в году	5	9
3	в этом	17	9
4	не только	18	8
5	он сам	3	7
6	и не	12	7
7	и на	6	7
8	и с	5	7
9	может быть	7	7
10	как бы	6	7
11	что он	7	6
12	и его	6	6
13	у него	11	6
14	но в	9	6
15	все же	9	5
16	так и	7	5
17	это не	2	5
18	не может	5	5
19	то же	2	5
20	в дальнейшем	7	5
21	как и	7	5
22	в то	4	5
23	несмотря на	6	5
24	но и	13	4
25	то что	18	4
26	что в	5	4
27	я не	2	4
28	прежде всего	6	4
29	и все	9	4
30	в нем	6	4
31	и даже	14	4
32	так же	5	4
33	том что	17	4
34	в этой	10	4
35	и что	6	4
36	в себе	4	4
37	еще не	3	4
38	этот образ	2	4
39	об этом	4	4
40	уже в	2	3
41	один из	2	3
42	отнюдь не	4	3
43	iii в	4	3
44	в своем	11	3
45	к людям	4	3
46	в конце	8	3
47	как в	2	3
48	все эти	2	3
49	жизнь и	3	3
50	и он	4	3
51	и как	6	3
52	к нему	3	3
53	в его	12	3
54	при этом	4	3
55	и сам	4	3
56	как будто	3	3
57	с ним	3	3
58	то есть	21	3
59	еще в	5	2
60	и до	2	2
61	не могут	2	2
62	что и	6	2
63	раз и	2	2
64	в частности	4	2
65	и за	2	2
66	данном случае	2	2
67	который в	9	2
68	то и	2	2
69	по мнению	2	2
70	не просто	5	2
71	уже не	6	2
72	отношение к	2	2
73	не за	2	2
74	к тому	2	2
75	не так	4	2
76	ни в	4	2
77	он был	2	2
78	в ее	3	2
79	в том	12	2
80	говорит о	7	2
81	но все	4	2
82	так что	11	2
83	в таком	2	2
84	не в	7	2
85	что этот	5	2
86	тут же	6	2
87	точно так	3	2
88	в данном	2	2
89	и то	5	2
90	любви и	4	2
91	потому что	13	2
92	знает что	3	2
93	с тем	5	2
94	тем что	2	2
95	в виде	10	2
96	его за	2	2
97	в глаза	2	2
98	он и	5	2
99	бросается в	2	2
100	по поводу	2	2
101	в это	2	2
102	по словам	2	2
103	о том	12	2
104	его в	6	2
105	в самом	5	2
106	это уже	2	2
107	не мог	4	2
108	ничего не	2	2
109	он не	3	2
110	в одном	3	2
111	никогда не	7	2
