N	2gram	Voloshinov_1	StatiiOP
1	и в	16	29
2	том что	3	27
3	в том	3	27
4	в этом	9	21
5	но и	4	19
6	что в	3	19
7	не только	7	19
8	о том	2	17
9	что он	2	13
10	в его	4	13
11	то что	3	11
12	все это	4	11
13	таким образом	9	10
14	так и	4	9
15	и не	4	9
16	он не	2	9
17	и пр	12	8
18	но в	4	8
19	в самом	2	7
20	в своей	2	7
21	вместе с	3	7
22	в одном	3	6
23	до сих	3	6
24	и его	8	6
25	и на	4	6
26	прежде всего	9	5
27	было бы	2	5
28	как бы	5	5
29	сих пор	3	5
30	точки зрения	8	5
31	в частности	2	4
32	к этому	2	4
33	для него	6	4
34	если б	3	4
35	и к	6	4
36	и о	2	4
37	в нем	4	4
38	и с	8	4
39	в общем	3	3
40	не менее	2	3
41	самого начала	4	3
42	же как	2	3
43	что это	2	3
44	в этих	3	3
45	вообще не	2	3
46	оно не	2	3
47	с этим	2	3
48	с нею	2	3
49	что на	2	3
50	ни в	5	3
51	меньше всего	2	3
52	но это	2	3
53	в начале	2	3
54	кажется что	2	3
55	никогда не	2	3
56	и даже	4	3
57	всяком случае	3	3
58	самом деле	6	3
59	с самого	4	3
60	на самом	4	3
61	и по	2	3
62	хотя бы	4	3
63	так же	2	3
64	во всяком	3	3
65	во время	3	2
66	с его	7	2
67	ни было	2	2
68	и др	3	2
69	в них	2	2
70	с этой	2	2
71	и теперь	3	2
72	что и	2	2
73	как и	2	2
74	и как	3	2
75	в этой	4	2
76	по своему	2	2
77	может быть	17	2
78	и потому	3	2
79	нет и	2	2
80	только в	4	2
81	ее в	2	2
82	совершенно не	8	2
83	не на	2	2
84	не может	8	2
85	то же	2	2
86	все эти	5	2
87	при этом	6	2
88	они не	2	2
89	что такое	5	2
90	с точки	6	2
91	сказать что	7	2
92	в каком	2	2
93	и вообще	2	2
94	в один	4	2
95	его в	4	2
96	и это	6	2
97	и вся	2	2
98	так как	4	2
99	как это	3	2
100	того же	2	2
101	в области	3	2
