N	2gram	Kanaev_Sov_1	Psycholo
1	и в	7	30
2	в том	4	27
3	что в	2	24
4	и что	2	23
5	таким образом	11	20
6	как бы	4	19
7	если мы	4	16
8	и мы	3	16
9	не только	4	16
10	в самом	2	14
11	в этом	7	14
12	вместе с	4	12
13	с одной	2	12
14	может быть	12	11
15	не может	17	9
16	так как	4	9
17	что это	2	8
18	он должен	2	8
19	не в	3	8
20	а не	3	8
21	при этом	3	8
22	самом деле	2	8
23	мы видим	2	8
24	могут быть	2	8
25	этих двух	2	7
26	в нем	3	7
27	зависимости от	4	7
28	мы можем	6	7
29	все же	3	7
30	то же	3	7
31	точки зрения	12	7
32	уже в	3	6
33	ясно что	3	6
34	в зависимости	4	6
35	что она	3	6
36	как и	6	6
37	совершенно не	2	6
38	по мнению	2	6
39	что все	2	6
40	и не	6	6
41	жизни и	4	6
42	когда мы	3	6
43	на этом	2	6
44	и есть	2	5
45	в целом	4	5
46	как мы	2	5
47	и потому	3	5
48	в этой	3	5
49	еще не	3	5
50	было бы	3	5
51	в себе	3	5
52	но в	3	5
53	же самое	2	5
54	в результате	6	4
55	и все	3	4
56	прежде всего	5	4
57	у нас	3	4
58	и к	3	4
59	в его	2	4
60	и именно	2	4
61	а в	4	4
62	из которых	2	4
63	в конце	3	4
64	не можем	7	4
65	не могут	2	3
66	у него	2	3
67	при таком	3	3
68	это не	4	3
69	из этих	2	3
70	вопрос о	4	3
71	самого начала	3	3
72	для нас	3	3
73	с самого	3	3
74	одна из	3	3
75	в свою	2	3
76	мы с	2	3
77	тот же	2	3
78	друг с	2	3
79	из двух	3	3
80	на его	2	3
81	что при	2	3
82	времени и	2	3
83	с другом	2	3
84	и наконец	5	3
85	на этот	2	3
86	тем же	2	3
87	в таком	2	3
88	той же	2	3
89	мы не	9	3
90	мы должны	4	3
91	в которой	2	3
92	мы получим	3	2
93	он в	3	2
94	знаем что	2	2
95	между собой	3	2
96	с этим	2	2
97	мы называем	3	2
98	в одном	3	2
99	в каждом	8	2
100	или иной	2	2
101	с помощью	4	2
102	мы знаем	2	2
103	но все	2	2
104	не дает	2	2
105	ли мы	3	2
106	следующим образом	3	2
107	но мы	3	2
108	из них	4	2
109	быть и	2	2
110	все это	3	2
111	отличается от	3	2
112	в отличие	2	2
113	с совершенно	2	2
114	приводит к	2	2
115	с точки	5	2
116	и даже	2	2
117	отличие от	2	2
118	ничего не	6	2
119	в нашем	2	2
120	если же	2	2
121	как он	3	2
122	все эти	5	2
