N	2gram	Berdyaev_O_1	VrazhdaK
1	в бесах	3	10
2	достоевского с	2	9
3	не только	11	9
4	в этом	12	8
5	и в	19	8
6	достоевского в	3	7
7	но и	13	7
8	что в	4	7
9	достоевского и	5	7
10	то что	5	7
11	и все	10	7
12	в нем	10	6
13	все же	2	6
14	как и	6	6
15	к достоевскому	2	6
16	но в	2	6
17	и с	2	6
18	не было	9	5
19	и не	13	5
20	у него	22	5
21	в россии	5	5
22	уже в	2	4
23	у достоевского	19	4
24	как бы	3	4
25	все это	6	4
26	это не	3	4
27	достоевского не	4	4
28	что он	3	4
29	что достоевский	2	4
30	в дневнике	2	4
31	с ним	3	4
32	в своих	3	4
33	может быть	11	4
34	в истории	2	4
35	о том	3	4
36	в этот	2	3
37	с его	4	3
38	в своем	2	3
39	что у	2	3
40	что есть	2	3
41	т е	4	3
42	к этому	2	3
43	человека в	11	3
44	он был	8	3
45	в том	5	3
46	и его	4	3
47	достоевского к	2	3
48	том что	2	3
49	тем что	2	3
50	достоевский не	4	3
51	в его	7	3
52	в русской	3	3
53	его в	2	3
54	из подполья	11	3
55	но он	7	3
56	и о	2	3
57	он не	7	3
58	о достоевском	2	2
59	он сам	4	2
60	в своей	2	2
61	никогда не	9	2
62	россии в	2	2
63	не может	4	2
64	а в	5	2
65	о которой	2	2
66	и он	8	2
67	достоевского он	7	2
68	в этой	5	2
69	и то	2	2
70	достоевский был	3	2
71	и ее	3	2
72	в себе	3	2
73	отношение к	5	2
74	для него	5	2
75	еще не	3	2
76	записки из	3	2
77	достоевский всегда	2	2
