N	2gram	Vygotskiy__4	Narrotol
1	не только	7	32
2	может быть	22	25
3	но и	3	23
4	и не	13	20
5	и в	33	19
6	то есть	13	19
7	в том	21	18
8	в этом	28	17
9	в частности	4	14
10	том что	22	14
11	не в	2	14
12	а не	6	12
13	представляет собой	2	12
14	то что	44	11
15	а в	4	11
16	не может	10	10
17	точки зрения	6	10
18	при этом	2	9
19	со стороны	2	9
20	так и	3	9
21	в его	10	9
22	в мире	3	9
23	с другой	2	8
24	не является	2	8
25	в себе	6	8
26	времени и	2	7
27	как и	5	7
28	к тому	12	7
29	все же	5	7
30	как в	3	7
31	с одной	3	7
32	одной стороны	3	7
33	с его	2	6
34	что он	20	6
35	но не	3	6
36	точка зрения	2	6
37	именно в	2	6
38	в той	3	6
39	тем самым	3	6
40	как это	14	6
41	иначе говоря	2	6
42	о том	20	6
43	но в	2	6
44	и как	5	5
45	по себе	9	5
46	можно сказать	2	5
47	тому же	3	5
48	себя в	4	5
49	не все	2	5
50	и его	5	5
51	в основе	3	5
52	между двумя	2	5
53	в этой	9	5
54	далеко не	3	5
55	перед нами	6	4
56	прежде всего	2	4
57	в нем	7	4
58	у него	6	4
59	что не	4	4
60	то же	9	4
61	да и	3	4
62	но все	2	4
63	же время	2	4
64	было бы	12	4
65	связи с	2	4
66	вслед за	3	4
67	как бы	25	4
68	о нем	4	4
69	все те	2	4
70	речь идет	3	4
71	хотя бы	2	4
72	другой стороны	2	4
73	те же	2	4
74	из которых	3	4
75	в рассказе	8	4
76	сказать что	13	4
77	только в	4	4
78	героя и	2	4
79	и с	2	4
80	а с	2	3
81	же как	3	3
82	что в	21	3
83	никогда не	5	3
84	уже в	2	3
85	из этих	2	3
86	ни в	3	3
87	это и	5	3
88	что они	6	3
89	одна из	4	3
90	в сущности	6	3
91	в ней	6	3
92	он не	11	3
93	обратимся к	3	3
94	один из	2	3
95	с ее	3	3
96	не будет	4	3
97	как говорит	2	3
98	бы то	2	3
99	из них	4	3
100	жизни и	4	3
101	когда он	7	3
102	в ее	2	3
103	на него	4	3
104	даже не	2	3
105	как мы	4	3
106	сводится к	2	3
107	столь же	2	3
108	и он	3	3
109	и на	5	3
110	о ней	2	3
111	тем что	3	3
112	в то	3	3
113	как будто	8	3
114	что это	13	3
115	дело с	3	2
116	бы не	2	2
117	с чем	2	2
118	в своем	7	2
119	что у	4	2
120	в какой	5	2
121	та же	3	2
122	точно так	3	2
123	события а	2	2
124	другом и	2	2
125	идет о	3	2
126	что именно	3	2
127	и сейчас	3	2
128	говорит о	4	2
129	по существу	2	2
130	в пределах	3	2
131	она не	3	2
132	читателя в	2	2
133	например в	3	2
134	и когда	2	2
135	и потому	2	2
136	даже в	2	2
137	не имеет	2	2
138	сами по	3	2
139	от одной	2	2
140	и до	3	2
141	во всей	3	2
142	так же	13	2
143	как раз	9	2
144	к самому	2	2
145	не на	2	2
146	и только	7	2
147	не было	3	2
148	все эти	6	2
149	в двух	4	2
150	совершенно не	4	2
151	самом деле	12	2
152	к другой	2	2
153	что мы	6	2
154	и для	3	2
155	с точки	4	2
156	это не	6	2
157	в таком	4	2
158	можно было	4	2
159	тому как	2	2
160	событий в	3	2
161	в результате	2	2
162	одно из	2	2
163	не то	4	2
164	что касается	2	2
165	и ее	2	2
166	говорить о	3	2
167	исходя из	4	2
168	события в	3	2
169	все то	12	2
170	этого слова	3	2
171	и все	12	2
172	его в	3	2
173	событие в	2	2
174	когда мы	6	2
175	ничего не	2	2
176	мы имеем	2	2
177	что нет	2	2
