N	3gram	Vygotskiy__2	Myshleni
1	в том что	17	19
2	по сравнению с	2	14
3	с точки зрения	10	10
4	для того чтобы	13	8
5	к тому что	2	7
6	в то время	3	6
7	так же как	4	6
8	то же самое	6	6
9	можно было бы	4	5
10	то время как	2	5
11	заключается в том	10	5
12	в сущности говоря	4	4
13	на то что	6	4
14	мы знаем что	4	3
15	и той же	4	3
16	те же самые	2	3
17	так же точно	7	3
18	в этом отношении	5	3
19	до сих пор	5	3
20	одной и той	4	3
21	ту же самую	2	2
22	и то что	2	2
23	на этот вопрос	2	2
24	с тем что	3	2
25	и не может	2	2
26	с другой стороны	2	2
27	состоит в том	2	2
28	не может быть	8	2
29	в этой области	2	2
