N	2gram	Losev_Prob_3	StatiiOP
1	и в	44	44
2	в том	21	36
3	и т	13	30
4	что в	8	30
5	том что	12	29
6	т д	13	21
7	в этом	17	21
8	вовсе не	37	19
9	то что	23	18
10	не только	14	18
11	было бы	8	17
12	а в	5	17
13	о том	6	17
14	и не	35	16
15	а не	18	16
16	может быть	28	15
17	в данном	9	14
18	как в	5	13
19	пушкина и	3	13
20	можно было	4	13
21	не в	13	12
22	у нас	10	11
23	в этой	3	11
24	самом деле	3	11
25	точки зрения	5	11
26	ясно что	6	10
27	что он	9	10
28	но и	10	10
29	но в	12	10
30	только в	19	10
31	в отношении	2	9
32	с другой	7	9
33	но также	2	9
34	если бы	3	9
35	в то	9	9
36	как и	10	9
37	того что	8	9
38	также и	16	9
39	так и	10	9
40	в его	9	9
41	у пушкина	6	8
42	во всех	2	8
43	все же	6	8
44	из них	2	8
45	не может	7	8
46	и его	5	8
47	это не	9	8
48	с точки	2	8
49	прежде всего	3	7
50	по поводу	2	7
51	в самом	3	7
52	для нас	16	7
53	сих пор	2	7
54	до сих	2	7
55	другой стороны	5	7
56	таким образом	9	7
57	сказать что	16	7
58	что они	5	7
59	потому что	25	6
60	так что	12	6
61	но это	8	6
62	для него	3	6
63	что и	9	6
64	в своей	5	6
65	данном случае	7	6
66	что же	8	6
67	именно в	2	6
68	на самом	7	6
69	в той	3	6
70	во всяком	9	6
71	дело в	4	6
72	хотя бы	3	6
73	всяком случае	6	6
74	не менее	10	5
75	никогда не	6	5
76	так же	5	5
77	что мы	8	5
78	совершенно не	4	5
79	в котором	2	5
80	в нем	9	5
81	в целом	6	5
82	жизни и	6	5
83	все это	5	5
84	то же	13	5
85	и даже	14	5
86	и по	2	5
87	в слове	2	5
88	в которых	3	5
89	и то	14	5
90	тем что	4	5
91	могут быть	2	5
92	все эти	7	5
93	так как	9	5
94	и очень	3	4
95	что это	3	4
96	в частности	2	4
97	можно ли	4	4
98	гораздо более	5	4
99	это в	2	4
100	или иного	3	4
101	мы находим	7	4
102	в ее	4	4
103	это и	7	4
104	но все	3	4
105	тем более	3	4
106	является не	2	4
107	и что	7	4
108	в качестве	3	4
109	никто не	2	4
110	того или	6	4
111	же и	4	4
112	как раз	8	4
113	но если	6	4
114	как бы	9	4
115	на то	3	4
116	дело не	2	4
117	даже не	2	4
118	не было	5	4
119	что у	3	4
120	заключается в	4	4
121	не имеет	9	4
122	языка и	4	4
123	этот вопрос	3	4
124	как будто	3	4
125	как это	2	4
126	в которой	2	4
127	том как	2	4
128	в основе	2	3
129	не являются	2	3
130	а с	2	3
131	тому что	4	3
132	для себя	2	3
133	же касается	4	3
134	и с	9	3
135	с этой	3	3
136	не является	11	3
137	в конце	5	3
138	в тех	3	3
139	очень мало	2	3
140	ни в	8	3
141	да и	5	3
142	об этом	3	3
143	в начале	2	3
144	то в	3	3
145	же как	3	3
146	но не	3	3
147	того же	2	3
148	и без	4	3
149	еще не	5	3
150	и для	2	3
151	общего с	3	3
152	или иное	2	3
153	в ней	5	3
154	не значит	3	3
155	и тем	9	3
156	то это	10	3
157	и за	2	3
158	ни с	4	3
159	а именно	8	3
160	ничего общего	7	3
161	и только	6	3
162	по мнению	2	3
163	в виде	6	3
164	что для	3	3
165	с одной	2	3
166	что оно	2	3
167	но с	2	3
168	на этот	4	3
169	тем же	2	3
170	в таком	5	3
171	и вполне	5	3
172	значит что	7	3
173	в чем	4	3
174	это можно	2	3
175	в результате	2	3
176	то или	3	3
177	в каком	4	3
178	в другом	2	3
179	и вообще	8	3
180	будто бы	3	3
181	с этим	2	3
182	произведения в	2	2
183	что все	2	2
184	уже в	3	2
185	совсем не	2	2
186	а как	2	2
187	нисколько не	2	2
188	всех этих	2	2
189	и можно	2	2
190	бы мы	2	2
191	при таком	2	2
192	в этих	2	2
193	даже и	16	2
194	имеет ничего	3	2
195	в своем	5	2
196	как о	5	2
197	с которыми	2	2
198	и во	2	2
199	по крайней	5	2
200	как иначе	4	2
201	в наших	2	2
202	быть в	2	2
203	крайней мере	5	2
204	этом случае	5	2
205	по существу	2	2
206	и более	2	2
207	если не	3	2
208	литературы и	2	2
209	есть в	3	2
210	при этом	4	2
211	быть и	3	2
212	случае не	3	2
213	то время	4	2
214	что при	2	2
215	она не	3	2
216	но именно	2	2
217	и сам	5	2
218	не имели	2	2
219	между прочим	2	2
220	за пределы	5	2
221	и потому	7	2
222	ведь если	2	2
223	а также	4	2
224	этого слова	5	2
225	и такие	3	2
226	тем не	10	2
227	такого рода	6	2
228	в первую	3	2
229	отношения к	3	2
230	без всякого	3	2
231	первую очередь	3	2
232	самого же	2	2
233	и тогда	3	2
234	для этого	6	2
235	еще и	7	2
236	из того	3	2
237	тем самым	5	2
238	это вовсе	4	2
239	и у	2	2
240	есть только	4	2
241	д и	4	2
242	мы не	7	2
243	ничего не	3	2
244	а то	3	2
245	ни на	3	2
246	он не	8	2
247	в себе	8	2
248	говорить о	3	2
249	что здесь	5	2
250	и все	3	2
251	его в	3	2
252	при помощи	8	2
253	и это	9	2
254	том смысле	3	2
255	свою собственную	3	2
256	только с	4	2
257	могло бы	3	2
258	мы имеем	2	2
259	время как	4	2
260	гораздо больше	2	2
261	то есть	34	2
262	этот раз	3	2
