N	2gram	Voloshinov_1	VrazhdaK
1	не только	7	9
2	в этом	9	8
3	и в	16	8
4	но и	4	7
5	что в	3	7
6	то что	3	7
7	и все	4	7
8	в нем	4	6
9	и даже	4	6
10	как и	2	6
11	в начале	2	6
12	но в	4	6
13	и с	8	6
14	то же	2	5
15	и не	4	5
16	у него	2	5
17	для нас	2	4
18	как бы	5	4
19	все это	4	4
20	что он	2	4
21	так же	2	4
22	с ним	2	4
23	может быть	17	4
24	при этом	6	4
25	о том	2	4
26	в этот	2	3
27	с его	7	3
28	к этому	2	3
29	матери и	3	3
30	в том	3	3
31	и его	8	3
32	том что	3	3
33	и как	3	3
34	в его	4	3
35	его в	4	3
36	и о	2	3
37	в чем	5	3
38	он не	2	3
39	и т.п	2	2
40	в своей	2	2
41	и это	6	2
42	не менее	2	2
43	никогда не	2	2
44	вместе с	3	2
45	отнюдь не	4	2
46	в них	2	2
47	не может	8	2
48	а в	3	2
49	отношения к	3	2
50	таким образом	9	2
51	и образы	2	2
52	но это	2	2
53	к себе	3	2
54	на первый	2	2
55	мы знаем	3	2
56	с точки	6	2
57	чувств и	3	2
58	на основе	2	2
59	в этой	4	2
60	же как	2	2
61	их в	3	2
62	но как	2	2
63	точки зрения	8	2
64	и ее	4	2
65	отношение к	5	2
66	для него	6	2
67	еще не	5	2
68	во время	3	2
69	с нею	2	2
70	к ним	2	2
71	нашего времени	2	2
72	в него	5	2
