N	2gram	Bakhtin_Pr_1	RusskieA
1	и в	23	36
2	не только	13	22
3	что в	8	19
4	том что	9	19
5	в том	11	17
6	но и	11	16
7	так как	7	15
8	и другие	2	13
9	в этом	25	12
10	в этот	2	10
11	это не	10	10
12	как мы	5	10
13	как и	8	10
14	вместе с	2	10
15	и на	10	10
16	потому что	12	10
17	а в	7	9
18	из них	2	8
19	может быть	21	8
20	один из	2	8
21	и по	2	8
22	о том	2	8
23	что и	5	7
24	так и	10	7
25	и других	5	7
26	между тем	5	7
27	и не	34	6
28	для нас	3	6
29	при этом	3	6
30	в них	3	6
31	уже не	8	6
32	таким образом	11	6
33	мы не	2	6
34	все это	7	6
35	то что	18	6
36	все же	5	5
37	как будто	3	5
38	как бы	28	5
39	и у	4	5
40	в которых	2	5
41	как в	6	5
42	тому что	2	4
43	из этих	2	4
44	к этому	2	4
45	по существу	4	4
46	одна из	2	4
47	еще не	5	4
48	во всех	5	4
49	и их	2	4
50	в их	3	4
51	не может	11	4
52	входит в	2	4
53	того что	2	4
54	но это	5	4
55	тем что	3	4
56	только в	8	4
57	по этому	2	3
58	в этих	2	3
59	в своем	8	3
60	но все	4	3
61	но они	4	3
62	таким же	2	3
63	в одном	9	3
64	и к	4	3
65	несмотря на	6	3
66	в основном	2	3
67	но эти	2	3
68	приводит к	3	3
69	то же	10	3
70	с точки	15	3
71	на этот	2	3
72	хозяин и	2	3
73	так же	6	3
74	ничего не	6	3
75	их в	2	3
76	точки зрения	21	3
77	как например	2	3
78	то есть	24	3
79	этого слова	2	3
80	в области	3	3
81	не было	3	2
82	всех этих	3	2
83	к другому	2	2
84	и потому	3	2
85	в каждом	8	2
86	его к	4	2
87	что именно	2	2
88	в нем	20	2
89	у него	6	2
90	в жизни	6	2
91	и как	8	2
92	мы видим	3	2
93	но не	8	2
94	в большинстве	2	2
95	последний день	2	2
96	на западе	2	2
97	до конца	5	2
98	она не	5	2
99	только у	3	2
100	чем в	2	2
101	например в	3	2
102	в его	24	2
103	не значит	2	2
104	как можно	2	2
105	и с	4	2
106	в целом	4	2
107	как не	4	2
108	его как	5	2
109	в последний	2	2
110	в е	2	2
111	что она	2	2
112	е годы	2	2
113	этой работы	2	2
114	в свете	3	2
115	не на	3	2
116	все эти	8	2
117	на самом	4	2
118	можно говорить	2	2
119	а не	20	2
120	и для	3	2
121	и другими	4	2
122	с ним	6	2
123	в своих	2	2
124	этот вопрос	2	2
125	должна была	4	2
126	себя и	2	2
127	на себя	3	2
128	и здесь	3	2
129	но в	4	2
130	мы должны	2	2
131	в один	2	2
132	как он	2	2
133	там где	6	2
134	большинстве случаев	2	2
