N	2gram	Berdyaev_O_1	KulturaY
1	т е	4	32
2	и в	19	23
3	в том	5	22
4	не только	11	17
5	было бы	3	16
6	в этом	12	16
7	может быть	11	14
8	что в	4	13
9	в самом	5	13
10	для того	3	12
11	потому что	9	12
12	вопрос о	10	11
13	том что	2	11
14	а не	11	11
15	того что	3	11
16	в его	7	11
17	того чтобы	4	11
18	и не	13	10
19	прежде всего	9	9
20	еще не	3	9
21	хотя бы	3	9
22	так как	2	9
23	лишь в	7	8
24	должно быть	2	7
25	сказать что	2	7
26	все эти	4	7
27	с тем	2	6
28	по себе	2	6
29	что и	2	6
30	что он	3	6
31	так и	2	6
32	не может	4	6
33	могут быть	3	6
34	о том	3	6
35	ничего не	2	6
36	что же	2	5
37	не могут	3	5
38	и есть	3	5
39	как и	6	5
40	не в	11	5
41	хотя и	2	5
42	как бы	3	5
43	все же	2	5
44	а в	5	5
45	тем что	2	5
46	в своей	2	4
47	и о	2	4
48	в ее	2	4
49	то что	5	4
50	в своем	2	4
51	не было	9	4
52	что не	4	4
53	вопросом о	2	4
54	уже в	2	3
55	это не	3	3
56	и к	2	3
57	он не	7	3
58	не есть	2	3
59	отношение к	5	3
60	но и	13	3
61	и вот	3	3
62	не имеет	2	3
63	и с	2	3
64	учение о	2	2
65	все это	6	2
66	сразу же	2	2
67	что все	2	2
68	же это	2	2
69	на западе	2	2
70	из всего	2	2
71	что они	2	2
72	чем в	2	2
73	его в	2	2
74	не все	2	2
75	когда он	3	2
76	мысли и	3	2
77	что есть	2	2
78	как к	2	2
79	он в	2	2
80	в этих	3	2
81	в россии	5	2
82	но в	2	2
