N	2gram	Propp_Isto_1	Sotsiolo
1	все это	4	7
2	в том	9	5
3	в этом	8	5
4	не в	9	3
5	для нас	13	3
6	и только	2	3
7	в его	5	3
8	и в	28	3
9	не только	12	3
10	или даже	3	2
11	по отношению	3	2
12	еще не	7	2
13	было бы	7	2
14	как будто	4	2
15	только в	11	2
16	по существу	5	2
17	и мы	2	2
18	таким образом	8	2
19	том что	7	2
20	то же	12	2
21	отношению к	3	2
22	то что	9	2
23	может быть	25	2
24	в частности	2	2
25	и что	10	2
26	но и	10	2
27	дело не	5	2
28	к которому	5	2
29	как бы	2	2
30	должна быть	5	2
31	что в	12	2
