N	3gram	Ircho_Kome_3	StatiiOP
1	в том что	9	17
2	о том что	4	11
3	для того чтобы	6	10
4	и т п	3	9
5	с точки зрения	3	8
6	в этом отношении	2	7
7	до сих пор	9	7
8	с другой стороны	2	6
9	во всяком случае	3	6
10	в самом деле	6	5
11	то же время	4	4
12	в то же	4	4
13	что и в	2	4
14	и в самом	3	3
15	по отношению к	3	3
16	но все же	2	3
17	т е в	2	2
18	в то время	2	2
19	на этот раз	2	2
20	то обстоятельство что	2	2
21	с одной стороны	3	2
22	тем не менее	3	2
23	в этом случае	2	2
24	речь идет о	3	2
25	так или иначе	2	2
