N	2gram	Losev_Dial_3	Hudozhes
1	и не	27	16
2	в том	5	15
3	и в	24	15
4	не только	23	15
5	в частности	2	13
6	может быть	13	13
7	при этом	2	12
8	а в	2	12
9	и его	5	12
10	но не	2	11
11	в этом	8	11
12	в себе	2	11
13	как бы	3	10
14	но и	9	10
15	так и	5	10
16	то же	6	10
17	а не	26	10
18	в его	2	9
19	точки зрения	25	9
20	себя в	2	8
21	с другой	4	7
22	или иной	4	7
23	в то	5	7
24	но в	2	7
25	я и	2	7
26	в основе	3	6
27	с его	2	6
28	что в	7	6
29	том что	8	6
30	не в	3	6
31	же время	3	6
32	не может	19	6
33	могут быть	2	5
34	ни в	9	5
35	только в	5	5
36	тем самым	3	5
37	в самом	7	5
38	того что	12	5
39	той или	2	5
40	в нем	3	5
41	то что	14	5
42	другой стороны	2	5
43	в их	2	5
44	уже не	5	5
45	личности в	2	4
46	прежде всего	8	4
47	к тому	4	4
48	и как	8	4
49	особого рода	3	4
50	для него	4	4
51	еще не	2	4
52	например в	2	4
53	хотя и	5	4
54	он не	5	4
55	и тем	2	4
56	со стороны	2	4
57	сознания в	2	4
58	в слове	3	4
59	и то	4	4
60	сказать что	4	4
61	говорить о	4	4
62	не знает	3	4
63	как это	5	4
64	личности и	5	3
65	не менее	11	3
66	если бы	6	3
67	он должен	3	3
68	это не	4	3
69	была бы	3	3
70	или иного	2	3
71	что он	13	3
72	и к	5	3
73	тем не	10	3
74	субъекта и	4	3
75	одно и	5	3
76	того или	3	3
77	как раз	7	3
78	к нему	3	3
79	не будет	3	3
80	так в	2	3
81	не на	6	3
82	таким образом	13	3
83	как и	7	3
84	и что	15	3
85	с точки	14	3
86	и для	2	3
87	в таком	14	3
88	их в	2	3
89	потому что	7	3
90	что можно	2	3
91	и ее	3	3
92	в данном	2	3
93	в виду	7	3
94	на этом	2	2
95	я не	6	2
96	сама по	4	2
97	но на	2	2
98	таком случае	10	2
99	ни к	3	2
100	себя и	2	2
101	так или	2	2
102	тому что	4	2
103	в своем	3	2
104	в них	5	2
105	превращается в	6	2
106	вовсе не	13	2
107	по себе	20	2
108	субъект и	2	2
109	только о	3	2
110	в коем	3	2
111	об этом	6	2
112	при условии	3	2
113	тем более	3	2
114	есть в	3	2
115	одна из	3	2
116	одной стороны	3	2
117	случае не	3	2
118	для такого	2	2
119	несмотря на	2	2
120	никто не	2	2
121	за пределы	3	2
122	и о	3	2
123	и потому	2	2
124	не вполне	2	2
125	для себя	2	2
126	оно не	6	2
127	но она	3	2
128	а именно	2	2
129	и прежде	3	2
130	собственно говоря	4	2
131	и притом	5	2
132	с одной	3	2
133	именно в	2	2
134	все эти	3	2
135	это и	7	2
136	от себя	4	2
137	для того	3	2
138	и больше	4	2
139	из которых	3	2
140	и по	2	2
141	или в	2	2
142	я думаю	2	2
143	коем случае	3	2
144	так же	4	2
145	или иначе	2	2
146	тот или	2	2
147	и на	3	2
148	в силу	3	2
149	нового времени	2	2
150	у него	2	2
151	одно из	5	2
152	о себе	2	2
153	но как	2	2
154	о том	6	2
155	и это	4	2
156	из этого	2	2
157	мира и	3	2
158	в чем	4	2
