N	2gram	Voloshinov_1	OGranits
1	и в	12	13
2	и его	13	12
3	прежде всего	8	9
4	не может	16	8
5	и не	10	8
6	может быть	14	8
7	точки зрения	14	7
8	и пр	3	7
9	в его	2	7
10	таким образом	12	6
11	не только	4	6
12	социального общения	4	6
13	то что	5	6
14	только в	6	6
15	как бы	13	6
16	художественного произведения	7	5
17	все же	4	5
18	с точки	2	5
19	в материале	2	5
20	хотя бы	5	5
21	социальная оценка	2	5
22	в поэзии	3	5
23	и наконец	3	5
24	в процессе	6	5
25	то же	5	4
26	но мы	2	4
27	в своей	3	4
28	все это	3	4
29	социальной группы	3	4
30	мы не	3	4
31	мы можем	2	4
32	но в	5	4
33	и уже	3	3
34	отношению к	11	3
35	что в	2	3
36	никогда не	5	3
37	но и	3	3
38	материала и	4	3
39	так и	4	3
40	по отношению	11	3
41	и все	2	3
42	точку зрения	2	3
43	самом деле	3	3
44	да и	3	3
45	поэтического произведения	3	3
46	как и	5	3
47	не в	4	3
48	за пределы	4	3
49	и то	2	3
50	в пределах	3	3
51	одно и	2	3
52	в себе	3	3
53	и для	3	3
54	общего с	2	3
55	так как	9	3
56	но для	3	3
57	слово в	3	3
58	не менее	3	2
59	и др	5	2
60	уже в	2	2
61	с этой	2	2
62	в нем	6	2
63	к предмету	5	2
64	и слушателя	3	2
65	данном случае	2	2
66	а не	5	2
67	художественное произведение	3	2
68	в отношении	2	2
69	может стать	2	2
70	другой стороны	2	2
71	с другой	4	2
72	от всех	2	2
73	в них	3	2
74	истории литературы	2	2
75	жизненной речи	3	2
76	с одной	2	2
77	все эти	3	2
78	те же	2	2
79	в интонации	6	2
80	конечно в	2	2
81	и к	4	2
82	как в	5	2
83	если бы	9	2
84	в чем	2	2
85	в том	6	2
86	так же	3	2
87	в словесном	2	2
88	том что	5	2
89	в зависимости	2	2
90	с помощью	6	2
91	в данном	2	2
92	зависимости от	4	2
93	жизненного высказывания	3	2
94	социологический метод	2	2
95	в этом	4	2
96	между тем	3	2
97	и следовательно	5	2
98	могут быть	2	2
99	при этом	6	2
100	нуждается в	3	2
101	и ее	3	2
102	для него	3	2
103	более того	2	2
104	одной стороны	2	2
105	общения и	2	2
106	разрыв между	2	2
107	слова и	6	2
108	нет ничего	2	2
109	в самом	4	2
110	героя и	5	2
111	имеет место	2	2
112	там где	2	2
113	в ней	6	2
114	и является	4	2
